150, pa5-G-Output.txt, 6 
-77.0261  -136.3151  -95.0636  140.2193  -79.8817  -129.0578
  -28.62    -27.61    -14.70      -29.07    -28.30    -14.75     0.823
  -20.97    -32.38    -25.90      -20.80    -31.84    -25.45     0.717
   24.25    -14.18    -27.32       24.21    -14.21    -27.36     0.064
   13.52    -17.54     -0.48       13.51    -17.60     -0.47     0.059
    5.47    -23.20     -8.91        5.71    -23.36     -8.89     0.283
   -8.32    -16.93     -0.99       -8.39    -17.03     -0.74     0.278
    1.78      8.41    -11.52        1.48      8.07    -11.25     0.529
  -11.72     16.07     47.85      -11.71     16.05     47.84     0.026
  -17.57      0.34     10.97      -17.20      0.54     10.73     0.481
  -27.92     15.62     33.81      -27.45     16.00     33.55     0.662
  -17.15     27.25     22.92      -17.34     26.97     22.97     0.347
   32.48     18.11     10.29       32.05     17.07      9.78     1.244
   20.81    -13.51    -22.47       20.82    -13.57    -22.53     0.085
   32.65    -17.45    -12.83       32.57    -17.37    -12.90     0.129
  -30.55      8.96    -12.22      -30.50      8.94    -12.24     0.061
   41.61     -3.39      1.58       42.09     -3.46      1.69     0.495
   24.07     18.73    -27.91       24.06     18.69    -27.81     0.110
   -0.33    -23.38    -32.47       -0.32    -23.38    -32.47     0.005
  -16.33     10.02     -0.67      -16.67     10.56     -0.24     0.767
   10.81    -21.51     -9.21       10.28    -20.36     -8.97     1.289
   15.96      2.45    -24.74       15.95      2.44    -24.74     0.016
  -28.65     18.37    -26.33      -28.70     18.45    -26.28     0.104
  -31.37     14.86     25.38      -30.76     15.28     25.32     0.745
   -7.20     -1.53     30.63       -7.49     -1.80     30.70     0.400
  -17.45     27.55     23.66      -17.63     27.27     23.71     0.334
  -14.31     10.65     -1.41      -14.42     11.50     -1.34     0.857
   13.07    -11.50     46.67       13.08    -12.15     46.52     0.659
   31.27     -0.10    -26.96       30.97     -0.08    -26.82     0.330
  -15.85     14.01      5.42      -15.97     14.59      5.19     0.637
   33.51     -9.10     -8.20       33.42     -9.61     -7.98     0.561
   36.48      9.39     12.26       36.49      9.42     12.39     0.124
    3.30     -7.54     36.76        3.29     -7.59     36.77     0.049
   33.40     -6.82    -21.42       33.45     -7.05    -21.70     0.361
  -25.48    -10.80    -46.34      -25.57    -10.79    -46.49     0.178
   13.98     22.40     27.59       13.98     22.33     27.61     0.065
   10.32    -17.82    -19.34       10.66    -18.05    -19.48     0.433
   -5.42      1.14    -37.07       -5.08      1.00    -37.28     0.422
    4.22      0.28    -20.95        4.36      0.42    -20.80     0.247
  -36.51    -13.45    -28.41      -36.41    -13.51    -28.35     0.130
   -2.03     12.90     -3.49       -2.03     13.02     -3.59     0.152
   31.90     16.00     11.11       31.89     15.98     11.10     0.022
   28.28     -1.65    -28.83       28.46     -1.80    -29.12     0.368
   -0.33    -24.93    -29.51       -0.41    -24.30    -29.59     0.648
    8.38    -19.91    -21.99        8.37    -19.91    -21.99     0.010
   31.36     15.00    -21.22       31.12     14.72    -20.99     0.432
   14.67    -15.03    -19.38       14.74    -14.96    -19.31     0.113
  -29.22      7.26     -9.78      -29.18      7.26     -9.82     0.055
   24.62     -1.43     47.04       24.62     -1.43     47.04     0.004
   27.67     17.85     12.60       27.43     17.59     12.52     0.360
   -8.86    -28.11    -13.06       -8.87    -27.98    -13.24     0.229
    2.83    -23.17    -34.50        2.81    -23.18    -34.50     0.026
   23.67     22.93    -24.37       24.52     23.94    -24.77     1.373
  -28.27    -26.26    -35.93      -28.87    -26.93    -36.21     0.939
  -35.48    -21.00    -29.10      -34.99    -20.78    -29.02     0.547
   26.52     24.53     -5.29       26.52     25.03     -5.31     0.498
  -13.89     15.49      7.60      -13.72     15.28      7.81     0.340
   31.30      4.19    -27.62       31.50      4.13    -27.71     0.229
  -14.27     22.76     42.04      -14.20     23.08     42.19     0.356
   -5.92      0.41     54.19       -5.92      0.41     53.70     0.497
   -5.38      8.74    -29.77       -5.67      8.57    -29.83     0.342
  -17.94      8.18    -41.32      -17.91      7.92    -41.08     0.359
   42.20      9.16    -12.47       42.35      9.17    -12.50     0.147
   23.99      4.53     52.09       24.31      4.70     52.36     0.450
   -2.17     14.75     -1.70       -2.16     14.68     -1.65     0.086
