150, pa5-B-Output.txt, 6 
-117.7841  163.0214   38.1996  -163.4942    3.6222  110.6959
  -42.51    -12.60    -41.37      -42.62    -12.29    -41.79     0.528
   10.17     19.89     57.94       10.08     19.88     58.20     0.273
  -41.69     -3.70    -37.71      -41.11     -4.02    -37.49     0.703
   34.07      3.36      0.27       33.74      3.28      0.51     0.416
   10.57     22.51     48.36       10.39     21.55     48.77     1.055
  -12.50      5.66    -35.62      -12.67      5.88    -35.48     0.319
  -27.75    -29.29    -13.82      -27.78    -29.26    -13.83     0.047
   21.59      9.59     41.96       21.30      9.57     41.92     0.294
  -17.12     -4.59    -49.48      -17.15     -4.61    -49.44     0.049
    2.80      6.52     42.07        2.98      6.62     41.94     0.252
  -16.00     -4.80    -48.59      -15.99     -4.79    -48.61     0.021
  -22.36    -10.62     -7.89      -22.36    -10.59     -7.95     0.067
  -11.10    -13.20     -0.56      -11.12    -13.43     -0.25     0.381
   -0.34      6.92     18.47       -1.18      7.27     18.53     0.914
   -7.09     -8.12    -38.97       -6.92     -8.15    -38.96     0.169
    8.90     -1.13    -20.02        8.90     -1.12    -20.02     0.009
   25.02     11.57    -24.63       25.29     11.97    -25.11     0.674
    4.46     18.53     15.05        4.47     18.50     15.10     0.061
   18.12     19.05    -19.07       18.37     19.23    -19.14     0.316
   23.72      2.54     23.00       23.81      2.50     23.03     0.097
   27.12     21.79     -3.58       27.18     22.04     -3.56     0.251
   30.88     -1.46      1.53       30.78     -1.24      1.60     0.247
  -22.32    -21.16    -12.46      -22.33    -21.16    -12.54     0.090
   15.18      5.45     57.30       15.40      5.38     56.93     0.440
   21.88     25.77      5.79       22.15     26.16      5.81     0.472
   -3.82     -7.63    -29.17       -3.38     -7.81    -29.32     0.499
   28.65     19.91      5.87       28.68     19.73      6.01     0.231
  -10.34      3.33    -32.37      -10.35      3.20    -32.50     0.181
   30.06      5.85    -16.24       29.65      5.99    -16.23     0.436
    1.47      9.69    -10.79        1.23     10.33    -10.81     0.680
  -35.12    -11.14    -49.23      -34.17    -11.29    -47.54     1.946
   18.40     21.81     37.93       18.41     21.80     37.94     0.017
    9.63    -12.60      1.11        9.83    -12.95      1.34     0.463
    1.62     -5.10    -22.79        2.56     -5.38    -23.71     1.349
   33.69      0.92      6.28       33.88      0.99      6.40     0.237
    1.20     -1.42     54.61        1.07     -1.35     54.66     0.152
  -10.42    -29.33    -23.98      -10.67    -29.14    -24.01     0.315
  -33.84      4.44    -38.33      -33.82      4.43    -38.33     0.017
   27.21      0.62    -22.12       26.98     -0.11    -22.49     0.850
  -40.12    -25.95    -22.42      -40.02    -25.89    -22.51     0.150
    0.11     -7.41     60.72        0.12     -7.33     60.72     0.085
   -6.87     -1.78    -35.83       -6.94     -1.80    -35.83     0.072
   24.95      1.43    -24.38       25.03      1.61    -24.27     0.217
   23.58      0.73    -22.94       23.76      1.14    -22.68     0.520
  -31.70      2.50    -17.55      -31.71      2.37    -17.67     0.180
   29.92      5.99    -18.31       29.67      6.08    -18.31     0.273
   27.75     17.76     18.18       27.30     17.42     18.03     0.587
   33.74      3.74      7.41       33.80      3.71      7.42     0.066
   31.45      7.57     12.84       31.32      7.39     12.46     0.445
    0.88     -9.45     42.67        1.30     -8.65     42.40     0.946
    0.65     24.93     27.78        0.84     24.92     27.83     0.199
  -11.10     -4.55    -46.87      -11.04     -4.73    -46.68     0.268
   18.34     24.97     -9.72       18.08     24.82     -9.87     0.329
    3.99      7.39    -16.50        4.04      7.41    -16.52     0.057
   -3.14    -15.64    -21.03       -2.71    -14.93    -21.32     0.880
   -1.04      7.78      9.78       -1.12      7.97      9.79     0.210
  -32.06    -25.71    -13.12      -32.02    -25.67    -13.15     0.060
   -9.61    -28.14    -20.38       -9.76    -27.87    -20.44     0.314
   17.14      7.33    -21.50       17.35      7.25    -21.36     0.266
   28.05     16.30     18.41       27.70     16.16     18.26     0.407
   24.37      9.45     27.10       25.02      9.11     27.51     0.846
   18.14      9.35     58.56       18.15      9.12     58.96     0.463
  -16.93     -7.60     -2.94      -16.49     -7.69     -3.03     0.457
   12.09     20.97     58.05       12.13     21.27     57.98     0.316
  -15.96      5.96    -40.96      -16.16      5.65    -40.72     0.439
   16.16     10.73    -19.95       15.45     11.55    -20.39     1.163
    0.06     16.82     37.32        0.03     16.93     37.24     0.140
    5.31     16.28     55.53        4.64     16.52     55.45     0.713
  -23.12      6.86    -24.22      -23.19      6.77    -24.36     0.171
   13.96     22.38     -2.36       13.89     22.66     -2.61     0.384
   13.16     -9.29      5.19       13.17     -9.32      5.20     0.036
   23.52     24.37     -3.33       23.12     23.87     -3.29     0.639
   15.75     -9.85      0.80       15.87    -10.32      1.18     0.617
   12.65     28.43     18.47       12.65     28.43     18.47     0.000
    5.08     16.88     12.35        4.57     16.75     12.49     0.548
   21.88     25.88      4.06       22.15     26.25      4.08     0.465
   20.09      9.11    -27.06       19.93      8.98    -27.02     0.220
   32.97     12.23      5.12       33.02     12.22      5.12     0.046
  -22.38    -20.20    -51.28      -22.39    -19.96    -50.07     1.234
   12.52     28.51     16.78       12.60     28.90     16.86     0.410
  -45.91    -11.08    -36.69      -45.95    -11.05    -36.69     0.048
    4.05     22.01     16.29        4.45     22.36     16.66     0.649
   20.22     13.61     52.50       19.38     13.77     52.95     0.965
   15.69     22.07     40.11       15.33     21.78     39.99     0.475
  -22.54      6.43    -39.93      -22.61      5.81    -39.87     0.622
  -24.91    -26.79    -46.98      -25.25    -27.25    -47.53     0.795
  -28.75    -31.16    -40.73      -28.71    -31.04    -40.61     0.173
   -3.65    -14.24     -1.05       -3.60    -13.60     -1.34     0.693
    0.88     -5.39     61.11        0.57     -5.06     61.11     0.448
  -41.06     -6.56    -40.97      -41.69     -6.24    -41.07     0.717
    4.61     21.62     43.79        4.62     21.24     43.64     0.403
