400, pa5-H-Output.txt, 6 
  8.2995  125.5882  -82.6129  -149.5735   87.9976  -51.1081
  -21.00      5.61    -13.64      -20.91      5.75    -13.64     0.171
    6.14      9.90     65.17        6.04      9.98     65.17     0.125
   -0.78      7.28    -11.37       -0.61      6.87    -11.36     0.439
  -33.45    -25.39    -14.90      -32.88    -25.10    -15.14     0.691
   23.24     -8.20     -4.42       23.81     -8.46     -4.35     0.631
   29.21     18.06      2.91       28.09     17.92      2.52     1.191
   -1.43      4.50     46.31       -1.02      4.24     46.40     0.492
   -0.84     15.04     49.62       -0.83     14.99     49.60     0.047
   11.94     -5.90     18.26       12.50     -6.10     18.45     0.620
   -3.09    -19.32    -38.76       -3.36    -19.22    -38.46     0.413
   16.57     19.20     46.88       16.51     19.31     46.79     0.156
   15.42    -16.61    -15.39       15.30    -17.04    -15.50     0.462
   -0.42     15.02     51.15       -0.35     14.92     51.14     0.124
   10.15      8.17    -14.51       10.24      8.76    -15.13     0.859
   -6.27      4.96    -31.86       -6.09      5.14    -32.12     0.364
   -2.68     -2.73     18.71       -2.74     -2.80     18.71     0.094
    9.99     -3.72    -23.84        9.81     -3.76    -24.18     0.387
    7.17     11.57     67.67        7.18     11.57     67.75     0.073
  -24.04    -10.10    -54.03      -24.32    -10.18    -53.29     0.791
    5.10     -2.92     66.29        4.79     -2.75     66.44     0.388
  -22.04    -33.56    -30.59      -22.04    -33.57    -30.59     0.008
   -9.21     -9.59     -0.71       -9.69     -9.90     -0.38     0.659
   -7.93     -6.51    -44.66       -7.61     -6.28    -44.85     0.436
   19.39     18.66     36.07       19.12     18.73     36.03     0.280
   -3.82     13.20     48.28       -4.07     13.44     48.20     0.350
   20.78     22.10    -28.24       21.10     22.10    -28.33     0.330
   -2.99    -16.46    -38.10       -3.15    -16.50    -38.04     0.173
   -6.31     10.65     47.50       -6.26     10.66     47.43     0.087
   14.96      6.32     62.32       15.22      6.34     62.19     0.295
   10.90     20.44     -1.43       10.99     20.36     -1.40     0.121
    1.74     -3.85     57.34        1.58     -4.09     57.36     0.289
  -37.59    -14.80     -8.89      -37.21    -14.86     -9.27     0.535
   -2.10      2.64     24.17       -2.50      2.67     24.26     0.415
    7.37     12.95      1.85        7.41     12.93      1.87     0.051
    4.38      7.66    -17.73        4.47      8.58    -17.95     0.952
   15.08     25.77     -1.13       15.09     25.72     -1.13     0.050
  -40.52     -7.35    -12.73      -40.50     -7.35    -12.74     0.025
   34.01     14.45    -16.49       34.72     14.68    -16.25     0.783
   29.81     -2.54     -7.57       30.02     -2.64     -7.54     0.236
   -0.72      2.92    -26.84       -0.24      3.32    -27.12     0.684
   -2.11    -23.88    -32.64       -1.96    -23.94    -32.69     0.172
  -17.93    -19.18     -7.81      -17.94    -19.22     -7.70     0.125
   -9.63      8.55     40.66       -9.91      8.47     40.54     0.312
   17.08     -3.42     13.51       17.22     -3.59     13.56     0.226
    6.70    -11.40    -23.82        6.70    -11.61    -23.97     0.259
  -41.17    -14.38    -13.75      -41.16    -14.37    -13.76     0.023
  -44.10     -6.35    -19.06      -43.93     -5.97    -18.98     0.418
   25.75      5.02     10.04       25.96      4.96     10.59     0.588
   -5.61     -7.83    -40.22       -5.61     -7.83    -40.22     0.004
   -4.79     -7.04    -37.65       -5.24     -7.05    -37.59     0.458
   27.83     -0.02    -28.29       27.86     -0.26    -28.51     0.333
   23.93     15.02     18.12       23.91     15.01     18.12     0.028
   -8.12    -21.11    -11.06       -8.13    -21.07    -11.20     0.150
   33.13     -1.05     -5.54       33.14     -0.98     -5.57     0.075
    1.30     12.17     16.65        1.35     12.13     16.72     0.094
   20.62     -4.67      9.37       20.62     -4.71      9.42     0.064
   -6.06      8.45     47.53       -6.12      8.45     47.59     0.088
   -2.25     13.95     24.87       -2.31     13.60     24.94     0.362
   -8.11    -27.07    -38.87       -7.97    -27.17    -38.93     0.180
    1.39     16.22     24.96        1.31     16.42     24.92     0.222
   -0.89     15.27     49.78       -0.83     14.97     49.66     0.330
   21.28     25.45    -17.73       21.28     25.46    -17.73     0.003
   14.71     -3.19     17.69       15.16     -3.85     17.86     0.819
  -21.99      4.46    -13.35      -22.00      4.41    -13.26     0.106
   12.72     -7.23     15.04       13.34     -7.30     15.31     0.681
   -2.00      7.32     52.69       -2.05      7.38     52.55     0.163
   18.40     22.98     44.58       19.01     23.00     45.06     0.780
    0.38     15.53     21.64        1.04     15.17     22.03     0.848
   14.33      0.34     30.34       14.83      0.13     30.46     0.563
   -9.09      7.26    -16.07       -9.37      6.76    -16.43     0.674
   -1.31      6.38     46.37       -0.82      6.61     46.47     0.553
   13.59      3.72     58.94       13.30      3.87     59.00     0.331
   19.12     13.39     28.73       19.17     13.37     28.75     0.055
   14.78     24.04     -4.84       14.88     23.98     -4.79     0.130
    3.00     -8.59     22.21        2.81     -9.15     22.33     0.595
    5.43      3.39    -23.04        5.45      3.47    -23.12     0.108
   -2.27     14.29     48.99       -2.30     14.86     49.49     0.760
  -40.79      1.80    -20.16      -41.44      2.23    -19.86     0.829
    5.30     -3.30     63.54        4.85     -3.03     63.40     0.546
   25.96      3.66    -29.94       25.46      3.51    -30.72     0.941
   -2.03      8.56     59.82       -2.20      8.54     59.82     0.179
    6.44     -1.63     65.73        6.47     -1.75     65.87     0.191
  -39.30    -11.34    -10.11      -39.45    -11.50     -9.98     0.251
   30.65     -1.98    -21.04       30.58     -1.90    -21.07     0.112
    7.67     -1.81     60.48        7.42     -1.41     60.51     0.473
   -9.33      6.75    -35.08       -9.08      6.85    -35.10     0.274
   -0.72     -5.23    -31.51       -0.82     -5.28    -31.39     0.164
    2.74     -6.18     29.82        2.91     -6.08     29.80     0.197
   -1.05     -0.07     33.74       -1.51     -0.26     33.76     0.500
   -3.75    -21.68    -37.95       -3.54    -21.88    -38.13     0.337
  -34.21      8.54    -32.14      -34.10      8.39    -32.18     0.188
    7.09     18.82     25.70        7.20     18.55     25.62     0.302
   10.37     22.75     10.84       10.48     22.54     10.83     0.238
   -4.82     14.83     38.61       -4.86     14.90     38.62     0.078
   -2.24     14.82     47.07       -2.53     15.20     47.03     0.482
  -21.16    -31.08    -39.78      -20.96    -31.54    -39.91     0.508
   27.75     19.93      4.63       27.86     19.87      4.67     0.132
   27.01     20.90      6.18       26.93     21.10      6.05     0.250
    4.74     11.59     67.66        4.74     11.59     67.75     0.098
    9.56    -17.34     -6.34       10.38    -17.22     -6.12     0.860
    2.56     -4.38     58.00        2.40     -4.61     58.01     0.281
   18.61     21.30     41.70       19.07     21.16     41.76     0.480
   11.24     -6.99     18.69       11.62     -7.27     18.96     0.543
   -2.63      7.24     26.46       -3.20      6.99     26.21     0.671
   13.19     16.27     -5.44       13.21     16.28     -5.43     0.018
   -4.29     -2.41     14.41       -4.06     -2.44     14.33     0.247
  -13.75     -7.85     -3.45      -13.29     -8.10     -3.85     0.661
  -42.76     -0.19    -22.44      -42.76     -0.19    -22.44     0.008
   13.77     -4.12     16.28       14.78     -4.63     16.97     1.318
   -9.62      7.96     42.18       -9.62      7.92     42.18     0.040
   18.11     27.19     -1.55       17.82     27.51     -1.57     0.434
   30.54      2.16      6.08       29.96      2.14      5.78     0.657
  -29.31     -0.91    -10.90      -29.28     -0.88    -10.82     0.099
   13.62      7.23     64.72       13.65      7.24     64.29     0.436
    9.47     -3.22     27.87        9.62     -3.25     28.50     0.647
   15.39     23.55     46.96       15.08     23.38     47.00     0.353
   -2.54      6.61     19.66       -2.72      6.65     19.66     0.179
    8.19      5.32     64.62        8.22      5.31     64.40     0.224
  -14.64    -19.83     -8.32      -14.54    -20.34     -7.75     0.769
   32.30     14.50     -6.56       31.79     14.16     -6.58     0.613
   22.25     16.09     21.35       21.97     16.18     21.28     0.305
    5.97      7.34     65.72        5.77      7.43     65.58     0.255
    7.17     -7.31     27.05        7.09     -7.33     26.97     0.118
  -26.17      9.84    -39.55      -26.31      9.99    -39.64     0.229
   -0.95     14.24     21.15       -0.98     14.33     21.17     0.096
  -25.71      3.09    -48.88      -26.09      3.41    -49.23     0.604
   22.13     -5.97      5.38       22.13     -5.99      5.38     0.020
   33.36      1.51      0.49       33.47      1.47      0.55     0.133
  -36.11    -29.49    -26.17      -36.41    -29.82    -26.19     0.447
  -40.58    -19.40    -16.83      -40.61    -19.44    -16.78     0.075
   29.65     17.40     -4.78       29.95     17.13     -4.46     0.514
   13.37      3.15     44.92       14.26      2.95     44.84     0.918
   18.24     25.10     -9.87       18.32     24.58     -9.93     0.525
   23.45     17.63    -28.43       23.59     17.73    -28.68     0.299
    1.77     -4.29     57.89        1.82     -4.23     57.89     0.081
    0.93     -3.79     35.65        1.37     -3.14     35.75     0.796
   11.25     -3.64     23.46       11.68     -3.82     23.53     0.482
   26.16     15.50    -27.03       26.19     15.54    -27.07     0.064
   18.31      0.14     18.37       18.57     -0.09     18.54     0.388
    1.12     -3.05     44.84        1.21     -2.84     44.88     0.232
  -31.57    -11.57     -6.61      -31.52    -11.61     -6.74     0.142
   14.26    -10.83      8.29       14.41    -11.03      8.38     0.261
    8.62    -16.56    -12.66        8.20    -16.30    -12.52     0.510
    0.44     -8.62      8.11        0.53     -8.90      8.23     0.312
  -17.59    -32.76    -25.99      -17.61    -32.65    -26.00     0.109
  -43.07    -16.61    -23.13      -43.16    -16.62    -23.12     0.096
  -43.98     -5.78    -27.38      -43.50     -5.85    -27.40     0.485
   -1.18     14.88     61.58       -0.65     14.26     61.54     0.811
    0.05     -6.82     12.92        0.04     -7.20     13.19     0.472
    5.99     -4.02     37.74        6.08     -3.48     37.76     0.546
  -42.95     -1.59    -20.74      -43.27     -1.60    -20.86     0.341
   -5.53     11.62     47.63       -5.37     11.57     47.54     0.190
   31.78      2.69    -28.76       31.39      2.79    -29.24     0.624
  -36.32      4.94    -41.14      -36.62      5.34    -41.15     0.497
   34.71      5.14    -20.09       34.63      5.18    -20.11     0.096
   18.67     18.06     38.04       18.78     18.10     38.06     0.123
   -6.54    -24.33    -39.35       -6.06    -24.46    -39.74     0.631
   -4.56    -26.49    -32.00       -4.17    -27.37    -32.19     0.983
    5.73    -14.53     -2.04        5.81    -14.19     -2.25     0.405
  -18.27    -24.23    -48.68      -18.26    -24.05    -48.47     0.281
  -26.79     -7.62    -53.14      -26.87     -7.50    -53.36     0.259
   34.22     11.23    -17.00       34.05     11.34    -16.89     0.224
   28.01     -3.47    -20.06       28.00     -3.22    -20.00     0.255
  -13.00    -29.55    -17.26      -13.01    -30.17    -17.16     0.631
    4.91     -8.03     27.04        5.23     -8.59     27.21     0.671
   -0.43     -1.29     66.65       -0.71     -1.71     66.93     0.581
   18.33     22.03     46.10       18.26     22.02     46.05     0.089
  -21.07      5.36    -46.32      -21.03      5.45    -46.39     0.116
    4.29     17.64     17.47        4.07     17.58     17.37     0.248
  -28.13    -18.23    -51.79      -28.17    -18.37    -51.94     0.218
  -38.99    -16.36    -46.06      -39.27    -16.73    -46.23     0.489
   13.38     21.57     28.96       13.36     21.76     29.05     0.203
   19.65     27.22     -2.44       19.76     27.82     -2.72     0.676
  -42.55    -19.01    -25.11      -42.30    -18.96    -25.04     0.269
    5.52      7.37     64.44        5.45      7.28     64.47     0.112
   24.29     -7.13     -3.93       23.97     -7.30     -4.22     0.464
    5.05     -4.14     41.94        4.63     -3.83     41.88     0.525
  -22.45     -6.84     -9.51      -22.40     -6.91     -9.63     0.146
  -36.22    -12.12     -8.07      -36.24    -12.15     -8.03     0.046
    2.99     18.07     38.45        2.87     19.04     38.77     1.030
   34.67      2.00    -21.71       34.07      1.92    -21.64     0.609
   20.10     25.19    -14.63       19.87     25.35    -14.63     0.282
   -2.00     -5.18    -32.76       -2.20     -5.28    -32.46     0.368
  -30.84      5.90    -11.59      -31.37      6.59    -11.40     0.899
   -0.47      0.46     49.32       -1.03      0.10     49.38     0.671
   -2.46      8.01     48.51       -2.45      8.01     48.51     0.009
  -15.86      0.48     -7.36      -15.91      0.63     -7.23     0.204
   35.41     -0.06     -5.45       35.74     -0.38     -5.53     0.469
   20.55     -1.97     12.31       20.90     -1.95     12.27     0.352
    5.03     18.28     17.01        4.28     18.09     16.65     0.851
  -19.98    -33.49    -31.28      -19.98    -33.69    -31.27     0.204
  -16.79    -12.80    -53.24      -16.67    -12.92    -53.14     0.203
   11.19     22.05      0.28       11.55     21.74      0.41     0.491
   23.21     14.14     19.01       23.45     13.66     19.22     0.572
    5.71      3.80    -22.35        5.72      4.01    -22.56     0.299
    5.39      8.32     66.55        5.29      8.26     66.55     0.119
   -1.38     -2.57    -31.82       -0.90     -2.91    -32.31     0.766
   19.65      8.40     22.87       19.85      8.43     22.87     0.197
   27.37     18.23      6.50       26.74     18.20      6.28     0.668
   16.28      6.11     35.65       17.21      6.09     35.91     0.965
    5.87     -4.30     36.45        5.38     -3.96     36.34     0.600
    2.43     -2.86    -27.94        2.49     -2.88    -28.31     0.373
   17.62     17.72     43.03       17.27     17.92     42.91     0.424
   25.48     24.71     -3.06       25.36     24.48     -3.13     0.271
   -3.48     13.76     27.12       -3.62     13.72     26.74     0.412
   -7.16      1.88    -37.62       -7.26      1.83    -37.53     0.145
  -39.67      4.46    -32.44      -40.71      5.05    -32.50     1.190
  -11.63      0.82     -3.62      -11.71      0.90     -3.65     0.124
    3.17     18.23     39.38        3.10     18.80     39.57     0.610
  -17.10    -20.88    -50.65      -17.09    -20.89    -50.67     0.027
   17.44     22.42    -19.86       17.52     22.45    -19.86     0.077
  -20.10    -32.35    -21.22      -20.02    -32.64    -21.19     0.303
  -27.13    -22.12    -50.21      -27.00    -21.49    -49.46     0.987
  -29.37    -32.59    -35.13      -29.42    -32.69    -35.15     0.108
   -8.20      7.04     43.32       -7.78      7.52     43.47     0.645
   -6.83    -11.63     -2.58       -6.88    -11.98     -2.42     0.392
  -26.20    -15.84     -7.60      -26.29    -15.62     -7.87     0.364
    3.06     17.08     46.16        3.49     16.58     45.84     0.726
   -5.15    -10.38    -37.14       -5.25    -10.53    -37.08     0.192
  -31.98    -10.22     -7.28      -32.01    -10.30     -7.67     0.396
   -0.35      7.82      2.89       -1.06      8.72      3.18     1.189
   18.72    -13.74    -18.90       18.45    -13.72    -18.77     0.302
   15.73     11.75     56.90       14.93     11.73     56.83     0.799
  -33.99    -28.41    -18.77      -33.95    -28.48    -18.63     0.160
    2.14     14.89     17.65        2.10     14.91     17.60     0.067
    5.93     -3.56     40.56        5.93     -3.55     40.56     0.009
   -0.24     -2.35     31.85       -0.29     -2.27     31.81     0.104
  -18.55     13.83    -33.76      -18.44     14.28    -33.85     0.475
   -1.03      7.23     42.62       -1.06      7.22     42.61     0.027
  -30.23    -28.62    -15.25      -30.30    -28.78    -15.17     0.196
    1.23     -3.68     66.36        1.25     -3.58     66.34     0.102
   -0.88     14.18     26.71       -0.99     14.35     26.73     0.205
  -28.85    -12.71     -7.93      -28.80    -12.53     -7.67     0.321
    7.52     -9.13     24.07        7.56     -9.15     24.09     0.048
  -38.00    -27.52    -30.05      -37.92    -27.49    -30.03     0.088
  -13.04    -22.39    -48.54      -12.60    -22.97    -48.93     0.828
   -1.69      6.73     41.01       -1.24      6.95     40.93     0.509
  -18.52    -22.73     -8.66      -18.52    -22.73     -8.65     0.012
    0.99     13.98     17.33        1.19     13.77     17.41     0.302
  -10.02    -22.96    -11.52      -10.10    -22.55    -11.59     0.426
   13.30     23.68     45.16       13.13     23.82     45.11     0.227
  -11.64    -14.68    -50.22      -11.20    -14.78    -50.35     0.469
   -1.07     14.96     61.23       -0.56     14.37     61.18     0.780
   24.24      6.92    -30.36       24.20      6.92    -30.37     0.035
    7.19     10.50     -5.11        7.26     10.31     -5.10     0.203
    6.88     14.65      7.15        6.94     14.59      7.17     0.084
  -40.10      4.45    -26.31      -40.71      4.37    -26.63     0.692
   21.60      7.15    -25.62       21.76      7.24    -25.48     0.232
   -8.02    -27.97    -16.79       -8.07    -27.91    -16.89     0.129
   -7.39      7.80     44.43       -7.50      7.34     44.55     0.482
    7.81     20.42     14.17        7.59     20.94     14.23     0.576
   20.17     21.11     31.14       20.03     20.85     31.00     0.327
  -36.63      4.06    -42.33      -37.20      4.39    -42.71     0.760
   -1.51     -4.54     17.84       -1.48     -4.66     17.82     0.126
  -35.32    -12.77    -50.91      -35.24    -12.74    -50.65     0.279
  -13.46     -1.21     -3.68      -13.28     -1.34     -3.67     0.213
  -33.27     -8.11     -8.67      -33.22     -7.98     -8.07     0.615
  -11.41      9.99    -22.80      -11.18      9.73    -23.14     0.483
  -30.74     -1.44    -10.25      -30.71     -1.40    -10.15     0.114
   17.68      7.57     29.01       17.46      7.64     28.92     0.250
   26.71     21.22      6.26       26.73     21.17      6.29     0.061
   -7.08     -5.67    -42.46       -6.83     -5.49    -42.61     0.344
   33.75     15.53    -13.61       33.97     15.60    -13.58     0.233
   21.56     26.36      2.10       21.80     26.86      2.42     0.639
   -1.62     -4.60     16.31       -1.60     -4.68     16.32     0.084
   -3.41    -26.01    -18.37       -3.68    -25.86    -18.66     0.423
   22.51    -11.26     -3.76       22.68    -11.41     -3.62     0.269
    1.96     15.80     21.02        1.97     15.80     21.03     0.005
   15.94     -9.71      7.89       16.24    -10.13      8.17     0.584
  -31.45    -12.07    -52.58      -31.40    -12.23    -52.20     0.417
   17.05    -16.44    -15.77       16.99    -17.15    -15.93     0.731
   25.89     24.30    -12.59       26.26     24.55    -12.76     0.476
    9.53      4.78    -18.92        9.70      5.07    -19.17     0.419
    3.08     12.57     67.17        3.06     12.62     67.60     0.441
   -6.53    -14.24     -5.78       -6.50    -13.64     -6.01     0.640
   16.85     -2.43     15.81       17.23     -2.93     15.95     0.647
  -33.90      8.68    -34.05      -33.94      8.74    -34.04     0.074
   -2.70      4.33    -26.92       -1.81      4.95    -27.45     1.212
   30.75     -0.94      4.24       30.43     -0.37      4.08     0.675
    4.33     -3.82     57.63        4.28     -3.76     57.64     0.076
   15.97     10.84     49.46       15.51     10.92     49.40     0.466
   -0.60     15.43     29.65       -0.43     15.44     29.65     0.176
  -12.87    -28.40    -14.04      -12.58    -28.08    -15.03     1.089
   36.59      2.00     -6.81       36.34      1.96     -6.72     0.263
   10.66    -14.07      4.52       10.72    -14.35      4.69     0.333
   18.54      5.55     23.71       18.96      5.19     23.90     0.583
   22.23    -11.86     -5.70       22.79    -11.88     -5.87     0.581
    9.10     -3.30     27.97        9.26     -3.36     28.58     0.634
   -3.79    -19.67    -39.68       -4.11    -19.71    -39.59     0.336
   15.39     13.09     -8.60       15.19     13.11     -8.72     0.231
  -41.24     -2.53    -39.94      -41.81     -2.30    -40.02     0.621
  -24.59     10.27    -17.76      -24.56     10.20    -17.80     0.087
   22.89     -0.11     11.65       22.99     -0.29     11.88     0.309
   -1.68     15.21     46.85       -1.98     15.60     46.81     0.489
   -5.97     10.32     47.62       -5.97     10.32     47.61     0.010
   15.09    -10.72      8.17       15.11    -10.75      8.18     0.035
  -32.26    -20.96     -9.87      -32.09    -20.85    -10.00     0.242
   23.28     23.59    -23.06       23.30     23.63    -23.07     0.049
   21.69     -7.18      2.17       22.08     -7.70      2.62     0.788
  -42.30    -10.99    -27.77      -42.30    -10.98    -27.77     0.001
  -16.17    -22.12     -9.09      -16.15    -22.15     -8.94     0.161
  -15.40    -18.10    -51.38      -15.33    -18.09    -51.26     0.142
  -11.21    -14.61    -49.56      -10.96    -14.67    -49.63     0.268
  -20.30     13.82    -25.74      -20.30     14.43    -25.77     0.616
    8.17     -1.34     63.31        8.10     -1.23     63.31     0.130
  -14.90    -16.70    -51.77      -14.86    -16.69    -51.70     0.082
   12.24      1.96     57.17       12.43      1.92     57.19     0.190
   19.02     -5.11      9.10       19.02     -5.16      9.17     0.088
  -26.00    -28.64    -43.01      -25.89    -28.33    -42.70     0.461
   -0.44      5.17     39.49       -0.91      5.40     39.43     0.519
   33.95     13.42    -18.39       34.01     13.59    -18.03     0.402
   21.04     22.43    -27.74       21.24     22.44    -27.80     0.207
   36.20      1.81    -12.61       35.44      2.27    -12.46     0.900
    0.55     -5.60     23.39        0.54     -5.61     23.39     0.011
  -39.56     -5.47    -12.32      -39.75     -5.42    -12.23     0.213
   -2.41      5.92     11.51       -2.42      5.92     11.51     0.009
    8.59    -10.51     19.01        8.48    -10.46     18.97     0.125
   14.06     -3.83     17.76       14.41     -4.35     17.89     0.637
   35.30      1.60    -17.04       35.12      1.99    -16.75     0.520
   -1.84    -24.42    -14.21       -1.85    -23.71    -14.38     0.728
   14.01     17.01     -5.90       13.65     16.93     -6.18     0.465
  -38.52    -25.62    -21.07      -38.90    -25.73    -21.04     0.393
    6.78     18.46     10.17        6.66     18.52     10.11     0.151
   12.44     24.17     63.74       11.48     23.32     63.50     1.298
    4.32      4.27     66.94        5.11      4.19     67.08     0.808
    1.04     14.90     17.46        0.98     15.11     17.40     0.223
   -0.40     -0.97     56.83       -0.12     -0.79     56.98     0.362
    6.83     -2.49     54.88        6.93     -2.71     54.87     0.240
  -10.53    -14.03    -48.66      -10.52    -14.03    -48.66     0.005
   24.67     25.47     -7.17       24.89     26.54     -7.38     1.119
  -43.72    -15.61    -33.62      -44.12    -16.13    -33.48     0.670
   20.75     25.12    -19.88       20.68     24.86    -19.85     0.271
