400, pa5-J-Output.txt, 6 
 51.8358  -66.1709    3.1328  -141.5920  -49.6475  -26.5326
  -31.74      5.11    -37.12      -31.55      4.64    -36.95     0.540
  -46.12    -10.35    -22.15      -46.15    -10.35    -22.15     0.028
   28.29     -9.16    -25.22       28.26     -8.86    -25.12     0.325
  -12.15    -12.27    -45.88      -12.15    -12.28    -45.89     0.014
   40.11      4.37     -1.48       40.26      4.35     -1.48     0.153
   -6.14     -7.42     64.88       -6.12     -7.35     64.88     0.073
   -5.47     -4.82     47.68       -5.83     -5.04     47.49     0.465
    0.22     13.75      4.70        0.28     13.55      4.85     0.260
   33.31     19.17     -2.45       33.31     19.17     -2.45     0.003
   -0.90    -18.37     -5.49       -0.90    -18.39     -5.48     0.022
  -42.27    -13.49    -29.70      -42.40    -13.50    -29.69     0.129
  -45.79    -14.93    -22.63      -45.57    -14.85    -22.66     0.234
   29.28     18.81     13.72       29.20     18.73     13.61     0.149
  -10.64    -28.47    -10.54      -10.65    -28.37    -10.62     0.131
   28.47     19.65     13.74       28.39     19.57     13.64     0.149
  -28.87     11.16    -20.35      -29.00     11.41    -20.28     0.300
   29.46     19.88     11.43       29.52     19.94     11.45     0.081
   21.18     29.46    -19.16       21.18     29.55    -19.12     0.096
  -16.33     14.67    -23.73      -16.32     14.68    -23.73     0.010
    5.77     -5.88    -24.67        5.73     -5.85    -24.71     0.062
   36.59     -2.90    -14.63       36.57     -2.56    -14.71     0.352
   -9.00    -28.22    -35.72       -8.90    -28.28    -35.78     0.131
   -3.49     -5.78     32.36       -3.45     -5.70     32.37     0.091
  -10.29     18.64     13.17       -9.96     19.02     13.55     0.629
  -26.98    -11.93    -47.28      -27.08    -11.96    -48.02     0.752
   18.82     15.26    -23.83       18.88     15.28    -23.81     0.058
   -0.42      0.94    -26.50       -0.54      0.81    -26.36     0.229
  -22.42    -11.64    -47.96      -22.42    -11.63    -47.98     0.025
   11.90     13.10     64.16       12.33     13.86     64.42     0.907
   -6.85    -30.28    -18.61       -6.71    -30.64    -18.55     0.392
   27.50    -14.41    -11.38       27.52    -14.44    -11.36     0.039
  -29.23    -29.09     -7.70      -29.69    -29.89     -7.38     0.975
    7.36     18.17     49.51        7.45     17.51     49.55     0.667
  -12.70     -0.28      3.82      -13.05     -0.20      3.95     0.383
  -30.19    -31.74    -13.97      -30.31    -32.14    -13.91     0.416
   16.55     -3.02     33.93       16.51     -2.97     33.93     0.061
   21.73     17.37     30.80       21.82     17.43     30.82     0.116
  -36.59     -9.86     -4.19      -36.60     -9.80     -4.06     0.146
   20.24     25.47    -31.30       20.07     25.41    -31.20     0.207
   -5.60      3.54    -30.21       -5.81      3.20    -29.80     0.579
  -12.40      0.35      3.80      -12.65      0.58      3.92     0.362
   -5.70     -6.95     59.71       -5.63     -6.83     59.75     0.146
  -14.60     13.67    -22.78      -14.62     13.65    -22.80     0.032
  -14.32    -33.90    -25.46      -14.28    -34.13    -25.46     0.229
    3.77    -14.92    -22.38        3.61    -14.79    -22.28     0.232
   -9.91    -17.86    -44.21       -9.81    -17.82    -44.41     0.230
  -20.19     15.12    -27.05      -20.17     15.57    -26.97     0.458
  -36.77      4.33    -14.58      -36.82      4.39    -14.58     0.083
   -8.24     -0.51     18.48       -8.18     -0.53     18.47     0.063
  -39.78      3.57    -29.68      -39.79      3.59    -29.69     0.026
    2.63    -17.26    -23.21        2.47    -17.33    -23.14     0.186
  -27.94     11.81    -29.36      -28.11     11.99    -29.41     0.258
    4.94    -12.64    -22.79        4.82    -12.59    -22.72     0.147
    5.38     -8.07     30.02        5.56     -8.66     29.95     0.623
  -13.18    -33.85    -22.62      -13.16    -33.96    -22.62     0.114
    3.83    -10.02     20.69        3.66     -9.62     20.64     0.433
   -8.05    -22.67     -5.70       -7.80    -22.27     -6.34     0.802
    1.00     -7.16    -26.91        1.28     -7.21    -27.29     0.475
  -13.61     21.68     21.05      -14.26     21.75     21.02     0.651
  -17.75      1.13     -4.43      -17.69      0.98     -4.52     0.180
   -6.85     21.66      9.62       -6.71     21.82      9.91     0.361
    1.48     -5.80    -26.45        1.89     -5.87    -27.01     0.704
  -19.27    -25.47    -44.08      -19.41    -25.06    -43.79     0.522
   -6.86     25.44     29.84       -6.84     25.40     29.81     0.053
  -12.57     -7.83      3.70      -12.54     -7.81      3.68     0.038
   -2.94     -7.69     23.61       -2.74     -7.22     23.78     0.544
   20.77     29.61     -0.63       20.66     29.29     -0.75     0.367
   19.28     -2.40     26.51       19.73     -2.63     26.60     0.510
   14.77     12.46    -16.56       14.65     12.69    -16.71     0.304
   23.77    -10.46     -3.08       23.76    -10.23     -3.28     0.302
   19.76     25.65     15.97       19.76     25.64     15.96     0.015
    4.11      3.37     67.09        4.13      3.70     66.95     0.357
    2.84     14.44     59.71        2.92     14.20     59.72     0.254
   34.44     -3.66     -5.29       34.71     -3.79     -5.32     0.296
   -2.75     -7.93     21.03       -2.85     -8.07     21.09     0.180
  -17.71    -23.77    -44.67      -17.82    -23.63    -44.50     0.249
  -30.02    -33.28    -17.29      -29.98    -33.09    -17.36     0.215
   31.21     -2.42      8.97       31.27     -2.48      9.04     0.105
