150, pa5-D-Output.txt, 6 
114.0399   89.6852   53.4061   49.9667   -4.1371  -61.5812
   12.52     -4.10     63.65       12.38     -3.66     63.61     0.463
   -2.25      7.61     -6.11       -2.10      7.39     -6.03     0.281
  -26.46    -15.81     -8.30      -26.36    -15.92     -8.74     0.467
   33.05     -8.17    -21.52       32.70     -8.05    -21.45     0.371
   -2.66    -17.09    -41.14       -3.30    -16.65    -40.92     0.807
   -6.65     14.14     11.50       -6.64     14.13     11.51     0.017
  -28.26     -8.65     -9.29      -28.28     -8.60     -9.00     0.294
  -31.85      7.83    -34.37      -31.65      7.45    -34.20     0.464
   30.33     -0.94     16.74       30.38     -0.97     16.75     0.056
   -4.24     15.39     10.42       -4.24     15.40     10.42     0.010
    5.09     15.39     -3.81        4.74     15.77     -4.26     0.695
  -14.86      2.01    -46.00      -14.96      1.47    -45.42     0.803
   22.04      8.29     66.19       22.00      8.29     66.19     0.037
   -0.94     -7.66     10.75       -0.99     -7.77     10.73     0.122
  -32.84    -28.17    -29.12      -32.99    -28.38    -29.08     0.250
   19.35     -4.98     14.90       19.28     -5.26     15.00     0.303
  -28.67    -30.83    -29.98      -28.59    -30.66    -29.97     0.192
    0.55     -4.92    -28.89        0.56     -4.91    -28.91     0.021
   -6.96      3.44     46.84       -6.94      3.46     46.85     0.031
   33.14     12.47    -13.94       33.64     12.77    -14.08     0.600
   -4.66    -20.90    -39.02       -4.75    -20.78    -38.95     0.165
   13.63     -2.78     40.65       13.65     -2.64     40.64     0.142
   -1.35     -0.61     46.40       -1.32     -0.30     46.25     0.338
  -15.32    -19.10     -8.97      -15.23    -19.26     -8.88     0.196
   29.89     -5.37      3.41       30.04     -5.13      3.35     0.293
  -21.56     -8.07     -6.81      -21.38     -8.10     -6.98     0.251
   25.13     16.23     13.99       25.09     16.19     13.96     0.069
    9.99     13.87    -22.84       10.12     14.01    -22.84     0.190
  -18.01     -3.12    -48.86      -18.02     -2.92    -49.19     0.388
   -1.43     14.81     63.19       -1.54     14.96     63.16     0.192
    9.20     -3.07     29.59        9.45     -3.62     29.64     0.605
  -13.37      4.66     15.26      -13.63      4.55     15.20     0.289
  -17.39     -5.45     -3.26      -17.28     -5.41     -3.32     0.131
   35.06     -1.84    -23.05       34.95     -1.78    -23.00     0.137
  -10.82     20.10     33.48      -10.86     20.32     33.72     0.332
  -12.44    -29.87    -30.45      -12.42    -29.93    -30.45     0.061
  -27.61    -19.60    -10.10      -27.54    -19.52    -10.17     0.128
   -3.49    -13.87     -4.66       -3.50    -13.80     -4.67     0.072
   -6.21     20.66     19.00       -6.10     21.36     18.85     0.733
  -10.45    -26.37    -38.69      -10.55    -26.31    -38.53     0.190
   27.74     16.69      9.50       27.97     16.87      9.67     0.336
  -33.23    -11.24     -9.73      -33.12    -11.01    -10.36     0.679
  -13.50    -24.30    -14.41      -13.51    -24.44    -13.86     0.566
    2.40     -1.08     52.49        2.34     -1.16     52.47     0.106
  -13.25      2.50      1.55      -13.36      2.68      1.60     0.222
   11.72     22.77      1.45       11.36     23.29      1.07     0.737
   14.69     -2.85     27.39       14.78     -3.14     27.42     0.307
  -22.42      1.79    -14.67      -22.42      1.82    -14.49     0.180
   21.63      8.92     69.03       22.20      8.93     68.96     0.575
   26.88      9.25     21.98       26.85      9.24     21.98     0.037
   37.69      2.54      2.65       37.60      2.57      2.65     0.088
   -5.47      2.68    -34.86       -4.57      3.01    -34.82     0.959
   19.44     14.95    -28.80       19.46     14.99    -28.86     0.076
   -4.34      1.49    -28.66       -3.55      1.64    -28.86     0.833
   -7.75     14.77     12.45       -7.71     14.68     12.54     0.134
   -8.89    -25.03    -19.27       -8.88    -25.02    -19.28     0.009
   -1.26     12.51      4.09       -1.07     12.39      4.34     0.333
   24.69      6.80    -28.89       24.80      6.82    -28.65     0.272
   18.03     17.94     45.85       17.51     17.52     45.89     0.666
   18.18     15.29    -28.89       18.25     15.41    -29.06     0.223
   22.27     19.87     14.09       21.98     19.62     13.92     0.420
  -40.10     -8.52    -18.33      -39.54     -8.65    -18.59     0.632
  -32.53    -11.62    -48.64      -32.50    -11.59    -48.45     0.198
   -3.47     12.96     57.49       -3.35     12.81     57.49     0.194
   18.87     -0.00     71.99       18.84      0.07     71.87     0.142
   -4.11     -8.64      4.29       -4.11     -8.65      4.30     0.010
   10.26      8.26    -11.69       10.26      8.35    -11.82     0.157
  -35.83    -18.18    -15.44      -36.01    -18.24    -15.33     0.218
    2.43     17.09     53.99        2.18     17.61     54.05     0.585
   34.47     -3.66    -24.36       33.81     -3.18    -24.12     0.853
    0.15      0.88    -24.58        0.14      0.89    -24.55     0.037
   26.35     20.41      5.78       26.22     20.19      5.75     0.261
   23.09    -11.35     -8.63       23.18    -11.54     -8.62     0.219
    2.44     -6.41     26.19        2.47     -6.53     26.22     0.128
  -37.55    -20.31    -19.21      -37.44    -20.24    -19.27     0.150
  -16.32     11.62     16.79      -16.46     11.62     16.70     0.173
  -27.51    -29.89    -19.57      -27.42    -29.75    -19.57     0.170
   -5.33      2.21     49.72       -5.96      1.74     49.78     0.793
  -28.30    -13.45     -7.71      -28.32    -13.52     -7.65     0.094
   -5.60     10.64     63.20       -5.41     10.54     63.21     0.208
  -39.93    -11.52    -36.94      -40.25    -11.60    -36.99     0.336
   24.89     -1.76     29.52       24.66     -1.12     29.33     0.707
  -13.16    -10.59    -48.88      -13.20    -10.58    -48.76     0.125
   26.07     19.31      9.03       26.09     19.33      9.04     0.028
   34.70     -3.72      4.54       34.54     -3.65      4.53     0.173
    4.04    -16.71    -12.28        4.44    -17.37    -12.19     0.779
  -29.73    -11.25     -7.58      -29.92    -11.14     -7.67     0.234
  -26.28      2.36    -45.96      -26.33      2.49    -46.08     0.189
    8.55     16.89    -10.83        8.95     16.67    -10.52     0.552
  -29.51     -9.72    -49.50      -29.49     -9.70    -49.38     0.121
    4.04    -11.78    -29.22        3.67    -11.90    -28.91     0.490
  -41.87     -1.94    -27.56      -41.93     -1.20    -27.53     0.744
   29.10    -10.10    -19.56       29.07     -9.91    -19.64     0.201
  -20.35    -30.17    -38.30      -20.08    -30.65    -38.63     0.640
  -27.93      7.09    -39.90      -28.07      7.27    -40.06     0.280
