150, pa5-K-Output.txt, 6 
-112.8076   83.4077   16.9253  -109.1979  -42.3484  -110.0631
    9.50     25.98     11.55        9.58     25.76     11.61     0.238
   16.81      6.47    -21.05       16.80      6.50    -20.95     0.108
   12.78     -6.05     49.41       12.77     -5.96     49.42     0.083
    3.09     -6.89    -23.95        3.69     -7.07    -24.51     0.839
   26.15     19.46     13.24       25.95     19.42     13.22     0.211
  -10.45     10.31    -30.70      -10.72     10.14    -30.68     0.318
   30.23     -2.21    -11.54       30.17     -2.19    -11.53     0.059
   24.93    -12.38     -7.18       25.12    -12.68     -7.17     0.356
   -0.38     -3.46     40.42       -0.04     -3.27     40.31     0.394
    6.12      7.31     59.74        6.09      7.19     60.06     0.340
    8.64      7.77     61.12        8.41      7.73     61.07     0.238
  -11.73      1.67      2.92      -12.19      2.17      3.24     0.754
   27.87     -8.25     -7.45       27.54     -8.30     -7.55     0.349
   21.79      9.43     37.28       21.79      9.43     37.28     0.001
   21.65    -14.32     -8.33       21.99    -14.61     -8.54     0.499
   15.71    -15.76     -8.50       15.62    -15.40     -8.31     0.421
   30.52     18.12     -8.67       30.89     18.35     -8.64     0.435
    5.73     -7.75     56.27        5.77     -7.68     56.29     0.090
   30.09     13.64      6.01       30.03     13.61      5.98     0.080
   32.06     -0.37     -3.92       32.08     -0.45     -3.91     0.093
  -35.94    -11.64     -9.19      -35.91    -11.63     -9.36     0.173
   23.48     -5.16      7.89       23.78     -5.40      8.09     0.432
    2.87    -13.04      6.07        2.86    -12.89      6.03     0.159
   -2.96     -5.03     16.77       -2.84     -4.92     16.77     0.153
   14.35     -6.47    -20.35       14.36     -6.48    -20.36     0.020
  -43.90     -2.71    -30.38      -43.32     -2.86    -30.31     0.603
  -17.80    -15.13    -53.75      -17.72    -15.24    -53.56     0.235
   12.98     22.01     48.59       13.09     21.96     48.59     0.121
   -3.13      0.52     57.28       -3.04      0.54     57.29     0.091
  -40.08    -15.71    -11.91      -39.76    -15.57    -12.08     0.391
  -45.11    -11.16    -23.49      -44.83    -11.13    -23.47     0.288
    7.95    -17.56    -16.67        7.76    -17.54    -16.62     0.192
  -28.85    -34.03    -37.00      -28.88    -34.18    -37.10     0.175
   11.04     20.23      1.32       10.81     20.33      1.29     0.255
   27.68    -10.38     -9.18       27.67    -10.27     -9.16     0.109
   -5.98     -2.26     12.46       -5.72     -2.09     12.34     0.329
   14.37      6.83     57.92       14.41      6.71     58.11     0.233
   -0.46      9.74     -2.02       -0.79     10.13     -2.30     0.582
   -3.49      2.86     47.21       -3.62      2.87     47.22     0.127
    7.30     18.40     49.18        7.20     18.89     49.26     0.511
   16.39     27.11     24.48       16.37     27.05     24.49     0.069
   14.26     -5.55     49.78       14.29     -5.86     49.74     0.311
   -2.53     -1.90    -28.44       -2.40     -1.82    -28.56     0.196
   22.14     17.90    -23.41       22.15     17.78    -23.23     0.212
   -2.20    -18.36     -4.04       -2.18    -18.33     -4.09     0.065
   -9.76      8.80    -31.22       -9.91      8.71    -31.21     0.172
   24.80     -4.03      8.27       24.87     -4.28      8.34     0.270
   20.80      2.90     43.39       20.93      2.85     43.42     0.141
  -41.13    -24.57    -21.96      -41.06    -24.53    -21.99     0.089
    3.00     21.22     13.19        2.90     21.36     12.95     0.294
   23.09      6.45    -26.29       22.79      6.75    -26.72     0.601
  -23.25      3.20    -11.92      -23.51      3.57    -11.69     0.502
   -3.77      3.75     54.33       -4.48      3.20     54.32     0.898
   14.69     18.63     52.15       14.58     18.51     52.07     0.179
  -11.65      7.35    -10.33      -11.55      6.99    -10.40     0.375
  -17.44    -34.54    -26.45      -17.40    -34.68    -26.44     0.144
  -16.20    -11.80    -53.81      -16.46    -11.73    -53.46     0.437
    2.44     12.25     -0.32        2.43     12.28     -0.34     0.036
   19.90     28.71     15.75       19.79     27.87     15.84     0.859
    4.26    -23.89     -9.24        4.13    -23.74     -9.25     0.196
   27.24      9.31    -27.40       27.24      9.28    -27.49     0.091
  -13.02    -33.42    -31.09      -13.20    -32.94    -31.04     0.516
   10.37     23.19      2.66       10.20     23.02      2.80     0.275
   20.41      0.99     38.59       20.29      1.08     38.58     0.150
  -38.27      3.43    -42.00      -38.44      3.48    -42.04     0.178
   13.13     17.67    -24.90       13.81     17.76    -24.81     0.698
   24.58     15.02    -24.41       23.92     14.93    -24.55     0.674
   19.89      0.86     41.13       19.95      0.83     41.13     0.065
  -15.64    -28.04    -46.41      -15.64    -28.18    -46.50     0.170
   21.02      0.39    -23.48       20.81      0.33    -23.84     0.422
   -8.84    -24.54     -8.85       -8.89    -24.49     -8.52     0.333
    0.07     -3.91     46.74        0.62     -3.24     46.79     0.865
   35.92      4.93     -5.21       35.44      5.24     -5.13     0.579
    3.98     17.93      8.92        4.22     17.91      8.96     0.244
   -0.79    -15.63    -29.04       -0.44    -15.58    -29.20     0.384
   -5.00    -15.70     -2.13       -5.02    -15.82     -2.10     0.132
   24.03     -9.66    -14.19       23.68     -9.71    -13.90     0.459
    5.85     -6.07     41.65        5.91     -5.89     41.67     0.190
   14.93    -10.38    -16.67       14.93    -10.38    -16.67     0.000
  -33.01     10.60    -26.64      -33.11     10.79    -26.61     0.218
  -39.82     -7.95    -46.08      -40.41     -7.73    -46.54     0.779
   24.03     22.69     16.94       24.31     22.71     17.06     0.305
   13.54    -15.61      0.66       13.71    -15.90      1.06     0.525
  -36.67      2.39    -45.64      -36.68      2.39    -45.65     0.007
  -43.59    -20.21    -23.75      -43.55    -20.20    -23.77     0.047
    4.16     17.55     48.61        4.18     17.54     48.60     0.026
   13.65    -11.85      7.78       13.50    -11.47      7.69     0.421
   21.14     -9.42    -16.15       21.00     -9.33    -15.99     0.231
  -31.85     10.60    -38.14      -31.78     10.32    -37.92     0.369
   12.94     20.83     50.36       12.97     20.92     50.39     0.103
