400, pa5-F-Output.txt, 6 
-18.6681   28.0931  -23.5222  -44.0167  -66.6875   37.8809
   13.69    -17.58     -8.67       13.67    -17.39     -8.73     0.199
  -14.67    -18.61     -7.23      -14.77    -18.45     -7.51     0.336
  -14.11      7.22    -14.62      -14.13      7.32    -14.61     0.096
   -4.52     10.53     52.48       -4.41     10.48     52.52     0.124
  -19.00    -34.00    -29.24      -18.98    -33.62    -29.17     0.390
   -2.47     19.88     11.18       -2.50     19.91     11.14     0.059
   -4.42     23.52     14.04       -4.36     23.42     14.18     0.169
   -0.49    -14.55    -35.72       -0.77    -14.68    -35.61     0.323
  -33.45    -13.95    -45.04      -33.55    -14.03    -45.23     0.229
  -35.85    -12.16    -42.68      -36.04    -12.16    -42.77     0.208
   21.61     -0.14    -29.39       21.57     -0.14    -29.45     0.069
   12.76     -6.95     27.28       12.77     -7.04     27.29     0.094
   -4.12     -0.70    -34.62       -4.00     -0.62    -34.59     0.144
   23.95    -11.02      1.82       24.18    -10.62      1.71     0.473
  -20.71    -31.59    -15.69      -20.76    -31.33    -15.97     0.395
   -1.15     20.64     47.59       -1.13     20.61     47.58     0.034
   -0.05    -18.27    -33.91       -0.09    -18.26    -33.90     0.043
  -11.55     21.62     20.30      -11.66     21.63     20.25     0.115
   20.32     21.31     25.72       20.13     21.03     25.62     0.347
   -7.19     -9.17     14.19       -7.00     -8.81     14.12     0.409
    9.29     27.53     15.85        9.29     27.61     15.87     0.081
   26.22     18.19     17.16       26.23     18.20     17.17     0.020
  -28.53    -29.73    -36.39      -28.64    -29.95    -36.61     0.334
   17.33     27.63      1.64       17.44     27.89      1.69     0.289
  -31.49    -26.97    -37.50      -31.44    -26.93    -37.45     0.077
  -30.07    -30.84    -20.92      -30.37    -31.26    -20.83     0.529
   -1.46     -7.58     61.58       -1.53     -7.68     61.57     0.124
   20.51     24.42    -22.91       20.41     24.33    -22.84     0.156
   14.71     -6.06     42.49       14.98     -6.46     42.51     0.485
  -14.35    -24.17    -45.12      -14.35    -23.76    -44.88     0.481
    3.78     -8.84     56.64        3.81     -8.52     56.64     0.326
  -16.30     -1.72    -47.89      -16.43     -1.93    -47.63     0.352
    7.77     27.76      8.54        7.77     27.76      8.54     0.001
   15.39     22.87    -28.30       15.50     22.89    -28.45     0.187
   21.31     17.76     36.97       21.34     17.78     36.98     0.034
    2.49     26.33     13.48        2.49     26.34     13.48     0.007
   -4.89     -4.28     34.21       -4.85     -4.23     34.17     0.079
  -16.41      3.09     -6.94      -16.68      3.50     -6.73     0.537
   15.45     -5.64     41.68       15.71     -6.02     41.70     0.460
  -10.30     16.26     29.62      -10.33     16.22     29.63     0.052
   -0.87     -7.92     32.46       -0.86     -7.86     32.46     0.060
   35.09     10.97    -12.45       35.23     10.98    -12.49     0.150
   27.19     -1.38     18.36       27.36     -1.46     18.43     0.203
   12.11     -2.32    -23.20       12.11     -2.32    -23.19     0.008
   -4.33     13.87     47.14       -4.59     13.87     47.17     0.270
   19.44      1.56     59.50       19.33      1.61     59.47     0.133
  -17.38    -14.19    -49.39      -17.40    -14.13    -49.25     0.153
    3.59     21.03     47.33        3.66     20.85     47.32     0.189
   18.62     24.29     18.33       18.65     24.34     18.35     0.062
   20.83    -10.56    -23.62       20.77    -10.52    -23.47     0.159
   -1.36    -20.28    -35.03       -1.07    -20.36    -35.23     0.363
   28.41     -2.67    -25.91       28.72     -2.66    -26.14     0.383
   -6.02    -25.00    -37.57       -5.88    -25.13    -37.67     0.213
   15.79     26.74    -11.72       15.91     26.26    -11.64     0.504
  -41.32     -1.66    -28.83      -41.46     -1.50    -28.81     0.216
   11.25    -12.48      1.55       11.30    -12.57      1.67     0.162
   11.08     23.19    -13.20       10.99     23.22    -13.22     0.090
   -0.32    -21.02    -27.22       -0.51    -20.92    -27.25     0.223
   12.71     -6.76     37.47       12.71     -6.66     37.48     0.108
  -13.64     22.72     26.84      -13.94     22.77     26.88     0.302
   27.45     20.96      8.50       27.54     21.06      8.51     0.137
   23.71      3.19     34.25       23.81      3.15     34.27     0.109
   14.81     26.16    -22.51       14.74     26.26    -22.51     0.118
   -4.66     -3.70     50.86       -4.62     -3.67     50.86     0.049
   29.59     12.60    -24.77       29.90     12.77    -24.96     0.399
   38.19      1.72      0.26       38.39      1.61      0.30     0.237
   -4.60      8.02     52.49       -4.98      8.05     52.46     0.381
   20.22     -0.80     43.38       20.28     -0.86     43.40     0.093
   30.88     -2.59    -22.96       31.06     -2.59    -23.10     0.229
    5.13     15.34     -5.76        5.11     15.36     -5.78     0.033
   13.93     -6.32     36.02       13.89     -6.72     36.02     0.410
  -43.74     -8.65    -21.94      -43.60     -8.67    -21.95     0.143
   16.62    -10.99    -21.32       16.54    -11.10    -21.40     0.158
   27.49     -9.68      5.38       27.36     -9.47      5.35     0.248
   -3.10     15.59     53.24       -2.99     15.55     53.23     0.121
   -9.32    -29.65    -17.16       -9.51    -29.34    -17.26     0.377
  -24.52    -33.09    -21.37      -24.55    -33.27    -21.31     0.199
    7.73     -7.89     51.01        7.62     -7.46     51.02     0.441
    8.96     28.06      8.01        8.92     28.26      8.01     0.207
   27.94     -8.28    -23.78       27.92     -8.26    -23.76     0.039
  -39.88     -0.08    -22.46      -40.34      0.21    -22.44     0.543
  -40.74    -21.55    -23.57      -40.83    -21.59    -23.55     0.098
  -31.88    -30.19    -22.77      -32.07    -30.47    -22.71     0.340
   -1.87     -5.10    -28.63       -1.85     -5.12    -28.66     0.037
   20.09     -3.12    -27.85       20.05     -3.13    -27.91     0.076
   28.51      7.62    -28.94       28.39      7.59    -28.85     0.154
   12.80      4.89    -19.84       12.68      4.94    -19.90     0.143
   -5.37     28.02     17.83       -5.35     27.92     17.91     0.132
   12.70     -6.27     58.64       12.82     -6.44     58.65     0.215
    0.08     17.24      4.07       -0.20     17.42      3.95     0.354
  -35.04    -25.53    -16.85      -35.12    -25.63    -16.80     0.132
  -22.08    -25.80    -43.53      -22.09    -25.83    -43.56     0.033
  -34.14    -24.85    -36.93      -34.04    -24.77    -36.82     0.168
    6.63     -7.92     50.30        6.58     -7.73     50.30     0.192
  -31.20      7.75    -19.47      -31.15      7.68    -19.51     0.097
  -10.60     10.60    -26.68      -10.62     10.57    -26.69     0.039
   29.15     -8.96      5.31       28.95     -8.67      5.30     0.353
  -44.41    -11.49    -27.85      -44.29    -11.50    -27.85     0.122
   34.16     13.23      7.30       34.41     13.42      7.38     0.321
   29.51     16.35     14.22       29.49     16.32     14.20     0.037
    7.72     19.27     58.55        7.64     19.44     58.57     0.188
  -16.83     -4.39      0.17      -17.07     -4.41      0.28     0.265
    3.52     -8.63     56.53        3.53     -8.49     56.53     0.137
   33.69     -4.45     -0.43       33.54     -4.35     -0.44     0.181
   31.75      7.21     14.94       31.55      7.20     14.89     0.208
    1.12     -8.12     31.80        1.12     -8.02     31.79     0.100
   33.58      4.30    -19.29       33.49      4.31    -19.27     0.089
  -13.04     22.37     32.73      -13.18     22.40     32.75     0.147
   19.81      1.68     60.27       19.30      1.92     60.14     0.575
   -4.74      4.73     61.91       -4.93      4.73     62.04     0.229
   20.42     17.19     41.78       20.71     17.44     41.80     0.383
  -25.89    -15.38     -6.58      -25.89    -15.34     -6.70     0.126
   14.35     22.95    -28.80       14.32     23.01    -29.05     0.259
   35.88     -2.55      6.98       36.07     -2.74      7.08     0.285
   11.09     16.27     62.25       11.09     16.32     62.35     0.103
  -29.94    -31.37    -31.01      -30.05    -31.56    -31.03     0.217
   -9.05    -27.45    -14.43       -9.18    -27.26    -14.64     0.312
  -24.14    -25.90    -43.38      -24.15    -25.88    -43.36     0.026
   28.76     14.62     17.53       28.73     14.60     17.52     0.045
   13.08     11.21     62.21       13.13     11.18     61.93     0.279
   25.62     -1.97    -28.70       25.63     -1.97    -28.71     0.017
  -10.74     23.80     36.74      -10.77     23.82     36.78     0.050
    5.95      5.36    -17.63        6.05      5.56    -17.88     0.333
  -28.92    -11.94     -6.84      -28.89    -11.96     -7.14     0.302
  -24.04    -32.45    -18.17      -24.06    -32.70    -18.14     0.255
   15.48     -8.33     11.13       15.45     -8.23     11.11     0.108
  -11.94    -31.97    -22.09      -11.91    -32.09    -22.05     0.135
   29.99     17.09    -20.75       29.84     16.96    -20.70     0.207
    0.56    -18.51    -20.37        0.55    -18.51    -20.37     0.012
  -11.38     -1.76     10.66      -11.08     -1.77     10.55     0.317
  -11.54    -20.40    -46.48      -11.55    -20.36    -46.37     0.116
   -3.88    -24.50    -34.68       -3.65    -24.78    -34.75     0.374
   -5.98     11.89     32.25       -6.09     11.86     32.26     0.109
  -15.30      0.39    -45.74      -15.38      0.31    -45.63     0.153
  -43.59     -6.11    -28.33      -43.50     -6.14    -28.33     0.096
   29.69     18.05    -19.82       29.49     17.94    -19.73     0.251
   -5.07    -21.22    -13.39       -5.06    -21.23    -13.38     0.015
  -27.89    -11.31    -47.60      -27.82    -11.31    -47.43     0.188
    3.54     -8.05     35.75        3.50     -7.65     35.74     0.402
   -7.94    -10.42      7.23       -7.73    -10.08      7.12     0.411
   35.17     10.16    -11.63       35.57     10.22    -11.77     0.433
   25.16     16.35    -26.67       25.14     16.33    -26.64     0.040
    0.43     -8.26     31.93        0.45     -7.98     31.92     0.277
   31.95     13.72    -20.60       31.81     13.67    -20.59     0.145
  -13.58     -1.71      5.30      -13.72     -1.69      5.41     0.177
   26.50     16.20     20.26       26.23     16.04     20.11     0.347
   20.22      0.76     50.47       20.27      0.74     50.47     0.054
    9.65      4.15     62.12        9.62      4.05     61.84     0.294
   28.90     11.10     19.03       28.96     11.12     19.05     0.070
   19.70    -15.90    -15.37       19.73    -16.00    -15.41     0.107
  -31.69      2.74    -39.56      -31.83      2.89    -39.69     0.241
   20.06     26.01    -21.31       19.96     25.89    -21.28     0.163
   33.05     15.09      6.23       33.32     15.29      6.32     0.353
  -26.06    -32.23    -18.89      -26.12    -32.37    -18.84     0.167
  -19.95    -25.83     -9.04      -19.96    -25.86     -8.84     0.197
   -9.46     -4.65     14.72       -9.19     -4.58     14.66     0.289
  -11.72     -3.94    -46.50      -11.80     -4.02    -46.40     0.152
   -4.18     11.20     52.16       -4.26     11.22     52.16     0.084
  -38.00    -18.23    -37.71      -37.98    -18.34    -37.85     0.175
    0.10     25.65     14.23        0.07     25.90     14.09     0.287
  -24.57    -16.21    -47.76      -24.58    -16.22    -47.85     0.097
  -30.30    -24.76    -10.48      -30.30    -24.76    -10.48     0.002
    6.64     21.76     -2.45        6.55     21.79     -2.49     0.101
    0.69    -18.27    -27.70        0.47    -18.23    -27.72     0.220
  -11.98     26.36     23.88      -11.80     26.29     23.93     0.197
  -27.48    -28.19    -12.77      -27.60    -28.38    -12.54     0.323
  -28.64     -0.16    -13.29      -28.64     -0.17    -13.30     0.009
   12.11     18.29    -29.72       12.07     18.25    -29.88     0.161
    4.89     18.85     56.89        4.87     18.92     56.90     0.076
   24.36     12.89     33.18       24.11     12.86     33.16     0.247
    5.15     10.89    -12.12        5.13     10.76    -12.04     0.142
   -3.10    -18.71    -39.46       -2.98    -18.78    -39.58     0.183
   14.08     -8.23     13.08       14.08     -8.39     13.08     0.158
    9.99     22.01    -27.07       10.07     21.94    -27.08     0.107
  -40.87    -14.71    -34.68      -40.79    -14.79    -34.66     0.116
  -11.00     -4.96    -46.55      -11.03     -4.98    -46.51     0.057
   30.36     16.16     12.37       30.57     16.37     12.50     0.324
   -5.96      9.33     28.71       -6.10      9.30     28.72     0.139
   11.40     22.14    -29.18       11.40     22.12    -29.15     0.032
    2.26     25.59     11.72        2.25     25.62     11.71     0.033
   18.89     -5.00     31.06       18.69     -4.80     31.03     0.287
   10.15     20.25    -14.75       10.43     20.40    -14.75     0.318
   -8.95    -18.90     -8.75       -8.95    -18.90     -8.75     0.000
   30.33     19.10      5.61       30.33     19.10      5.61     0.002
  -39.48    -15.43    -13.82      -39.33    -15.39    -13.90     0.166
  -20.88    -12.00    -49.74      -20.89    -11.96    -49.87     0.135
   -3.66     19.41     11.91       -3.58     19.36     11.98     0.118
  -13.58      6.26    -10.37      -13.67      6.47    -10.32     0.238
   -8.16    -17.52     -7.18       -8.16    -17.52     -7.18     0.001
   -2.38     12.39     -1.50       -2.34     12.29     -1.46     0.117
    3.01     -8.79     23.95        2.99     -8.70     23.94     0.091
    3.85     -1.24     62.63        3.85     -1.26     62.68     0.054
  -32.33     -3.26    -43.24      -32.23     -3.31    -43.11     0.169
    1.60     17.17     59.50        1.67     17.08     59.46     0.117
   -1.15      9.73    -14.04       -1.15     10.03    -14.06     0.300
    5.04    -15.24    -16.91        5.05    -15.32    -16.94     0.085
   -7.34    -18.69     -9.89       -7.32    -18.74     -9.84     0.078
  -11.67     -5.12    -47.06      -11.66     -5.11    -47.07     0.018
  -21.76    -17.42     -6.09      -21.76    -17.41     -6.10     0.012
  -39.89    -20.27    -35.53      -39.99    -20.34    -35.59     0.131
   -2.30    -19.79    -37.20       -2.20    -19.90    -37.25     0.150
  -35.57      0.75    -14.48      -35.44      0.67    -14.62     0.216
  -34.04    -27.84    -19.45      -34.01    -27.81    -19.46     0.047
   14.47     -3.41     61.77       14.73     -3.67     62.15     0.533
   35.65     11.51     -6.37       35.74     11.70     -6.41     0.219
   29.22     18.58    -19.66       29.17     18.55    -19.63     0.065
    2.53     -7.10     62.50        2.53     -7.10     62.64     0.143
   -1.70    -12.18      8.65       -1.78    -12.42      8.69     0.256
   17.01      6.46    -26.65       17.25      6.52    -26.54     0.268
   23.54     23.86      8.11       23.63     24.04      8.17     0.213
  -21.59    -16.25     -5.99      -21.57    -16.23     -6.05     0.065
   18.97     -4.84     29.94       18.88     -4.75     29.93     0.128
   20.73     15.20     45.76       20.63     15.15     45.74     0.114
   -9.85      8.71    -33.16       -9.90      8.61    -33.14     0.111
  -41.05     -1.40    -28.99      -41.19     -1.25    -28.98     0.206
  -29.93    -31.44    -31.29      -30.00    -31.56    -31.30     0.139
  -12.10    -10.98      1.50      -12.16    -11.02      1.57     0.099
   -7.68     17.48     16.67       -7.77     17.48     16.64     0.091
   34.62      7.32    -15.64       34.78      7.31    -15.65     0.159
   30.13     19.77     -7.96       30.07     19.71     -7.96     0.092
   21.56      4.26    -29.82       21.53      4.25    -29.92     0.108
   -6.87     18.48     15.09       -6.91     18.48     15.06     0.049
   29.38      4.31    -27.50       29.41      4.31    -27.52     0.029
  -25.20    -32.45    -19.62      -25.27    -32.76    -19.57     0.316
   20.85     16.65     41.94       21.16     16.91     41.95     0.407
  -37.99    -10.18    -10.57      -38.17    -10.08    -10.39     0.280
  -43.92    -15.14    -30.39      -44.05    -15.17    -30.38     0.130
    2.20     -7.06     62.58        2.20     -7.06     62.65     0.064
   -3.64     -2.07    -33.20       -3.55     -2.06    -33.21     0.098
   -4.81     -4.50     60.52       -4.63     -4.39     60.56     0.210
   -2.14    -24.46    -28.13       -2.32    -24.33    -28.10     0.222
  -37.39    -12.53    -41.03      -37.71    -12.62    -41.22     0.387
  -36.77    -24.58    -34.28      -36.72    -24.52    -34.23     0.092
  -34.53    -26.46    -17.19      -34.47    -26.38    -17.23     0.102
   24.17      7.88     35.19       24.41      7.88     35.22     0.238
   -9.70      7.48      5.80       -9.62      7.40      5.80     0.115
  -21.31      0.78     -8.96      -21.47      0.90     -8.83     0.240
  -19.40    -20.70     -6.87      -19.43    -20.67     -7.03     0.172
   16.14    -12.95     -2.59       16.12    -12.87     -2.64     0.103
   -4.02     -1.42    -36.70       -4.04     -1.43    -36.70     0.015
    5.23     -8.21     62.07        5.17     -8.25     62.37     0.314
  -25.37    -24.23    -44.46      -25.38    -24.37    -44.59     0.191
   14.65     25.73     18.47       14.72     26.00     18.54     0.289
   34.38      4.59    -16.78       34.22      4.65    -16.72     0.182
    9.49     -7.15     32.02        9.48     -6.90     32.00     0.255
   11.14     -7.30     56.52       11.24     -7.56     56.55     0.277
  -28.98    -28.74    -37.81      -28.95    -28.67    -37.74     0.103
   -0.91    -20.08    -14.83       -0.95    -20.04    -14.85     0.062
  -11.70      1.78    -42.80      -11.68      1.82    -42.86     0.068
  -30.10      9.05    -30.51      -30.14      9.19    -30.54     0.154
   21.88     11.89     46.98       21.82     11.87     46.98     0.062
  -14.40      9.40    -37.25      -14.49      9.03    -37.13     0.398
   -7.33      7.18     22.60       -7.19      7.18     22.56     0.137
  -27.28     -5.93    -47.56      -27.15     -6.00    -47.32     0.282
    7.35    -14.71    -16.47        7.38    -14.81    -16.50     0.106
  -23.82    -30.18    -14.03      -23.83    -30.13    -14.08     0.076
   -5.47    -21.66    -13.76       -5.48    -21.64    -13.77     0.026
   21.26      1.49     45.06       21.56      1.27     45.15     0.377
   -2.34      0.62    -27.39       -2.30      0.63    -27.43     0.056
    3.50     21.60     46.12        3.42     21.47     46.03     0.180
  -26.50    -32.76    -30.92      -26.57    -32.94    -30.96     0.197
   33.60     14.82     -8.82       33.73     14.93     -8.81     0.170
   -9.68    -20.96    -45.68       -9.69    -20.95    -45.68     0.015
  -32.74      0.57    -13.99      -32.80      0.50    -14.22     0.250
    4.05    -12.89    -20.36        4.05    -12.84    -20.30     0.078
  -19.82      6.51    -40.78      -19.75      6.17    -40.55     0.412
    9.67     -2.85    -22.43        9.58     -2.83    -22.70     0.285
   -5.44      1.69     59.89       -5.16      1.71     59.86     0.292
   15.19     -6.12     36.08       15.46     -6.53     36.11     0.485
   -9.70     -1.98    -44.25       -9.77     -2.06    -44.06     0.215
   14.58     21.41     45.63       14.67     21.53     45.65     0.151
    6.12      7.11     63.42        5.99      7.12     63.20     0.252
   38.26      2.59      5.14       38.14      2.59      5.15     0.121
   29.72     19.98     -6.20       29.75     20.01     -6.20     0.039
   31.24     -1.22     13.26       31.47     -1.29     13.51     0.349
   -4.62    -10.34     15.02       -4.54    -10.23     15.02     0.135
  -14.77      9.58    -37.26      -14.87      9.13    -37.11     0.489
    0.30    -12.05    -24.87        0.20    -12.04    -24.85     0.108
    1.31      3.24     62.87        1.17      3.23     63.34     0.492
    1.54     24.19     38.64        1.44     23.84     38.53     0.384
   -4.70     28.54     18.23       -4.67     28.42     18.33     0.162
   14.61     25.86    -22.39       14.47     26.07    -22.38     0.247
   20.54     26.31     -6.31       20.57     26.39     -6.30     0.090
    7.02     24.25     32.70        7.00     24.13     32.68     0.123
    0.63    -16.02    -31.76        0.85    -16.07    -31.80     0.233
  -39.84    -17.27    -15.11      -39.50    -17.19    -15.26     0.388
   30.23      1.69     16.07       30.35      1.67     16.17     0.168
   -9.10     29.25     23.81       -9.08     29.20     23.81     0.046
   16.85     23.52     23.85       16.86     23.56     23.87     0.047
    5.23     -4.10    -23.13        5.29     -4.08    -23.22     0.107
    8.41      7.65     62.45        8.36      7.69     62.29     0.176
   30.66     14.70     14.05       30.65     14.70     14.04     0.015
  -42.58     -8.50    -34.31      -42.56     -8.51    -34.27     0.049
   12.76     -8.72    -23.10       12.95     -8.65    -22.77     0.389
  -30.57    -29.53    -34.90      -30.73    -29.74    -35.01     0.294
   -3.33     -4.57    -33.10       -3.54     -4.56    -33.06     0.214
   10.01     19.18    -26.69       10.01     19.18    -26.69     0.002
  -17.70    -19.45     -6.59      -17.82    -19.27     -6.91     0.389
  -11.79    -16.28     -5.55      -11.79    -16.03     -5.69     0.286
  -15.46    -14.60     -4.54      -15.34    -14.31     -4.82     0.417
   33.79      7.18     11.50       33.51      7.16     11.30     0.349
  -38.70    -17.62    -38.15      -38.68    -17.62    -38.13     0.025
  -13.27     19.46     30.19      -13.76     19.36     30.25     0.505
    2.99     18.01     58.15        2.98     18.03     58.16     0.019
   23.58     18.31     27.04       23.46     18.18     27.00     0.179
  -12.42    -32.01    -32.69      -12.32    -32.25    -32.76     0.267
    9.73     15.71     -8.46        9.73     15.69     -8.43     0.040
  -12.06    -30.44    -36.53      -12.09    -30.33    -36.46     0.129
  -31.88    -15.04     -7.51      -31.83    -15.01     -7.73     0.232
   -7.73    -20.29    -11.13       -7.72    -20.32    -11.10     0.045
    7.30    -14.15    -17.90        7.34    -14.22    -17.94     0.091
  -28.26     -1.02    -44.47      -28.23     -1.04    -44.42     0.061
    2.99    -17.25     -9.10        3.00    -17.30     -9.09     0.056
   -4.91      7.31    -21.99       -4.89      7.35    -21.99     0.040
    8.65      7.92    -15.16        8.64      7.96    -15.21     0.066
   -5.42     18.28     43.34       -5.15     18.22     43.33     0.271
  -27.89    -32.84    -27.23      -27.93    -32.95    -27.23     0.121
   22.76      1.89     36.76       22.96      1.79     36.77     0.219
  -34.53    -11.53    -44.13      -34.47    -11.58    -44.04     0.119
   37.03     -1.29     -1.56       37.10     -1.34     -1.54     0.093
   24.18     19.43    -24.47       24.06     19.31    -24.33     0.223
   -5.03      7.27     58.13       -5.11      7.28     58.13     0.082
    0.89     21.08     47.82        0.89     21.14     47.86     0.077
  -42.74    -18.24    -32.49      -42.54    -18.15    -32.44     0.218
   13.72     -8.90    -22.90       13.73     -8.72    -22.75     0.231
  -10.77     27.59     21.77      -10.49     27.34     21.87     0.387
  -12.15    -18.21    -46.97      -12.10    -18.23    -47.05     0.094
  -32.07      4.96    -36.27      -32.12      5.14    -36.33     0.198
   24.09    -15.48    -16.56       24.09    -15.49    -16.56     0.009
  -13.78     21.95     31.84      -13.55     21.87     31.78     0.249
   -3.15     21.63     12.36       -3.10     21.58     12.47     0.129
   -4.82      8.09     53.21       -5.04      8.11     53.20     0.212
   -4.95      4.32     45.76       -4.79      4.31     45.76     0.159
    6.75     -8.41     60.10        6.75     -8.69     60.07     0.285
    1.67     -0.46    -23.40        1.66     -0.46    -23.39     0.013
   15.40     26.80    -10.39       15.50     26.39    -10.31     0.431
   33.47     -5.06    -15.50       33.43     -5.03    -15.49     0.045
   12.76      5.36     62.21       12.77      5.36     62.25     0.036
   21.01     -8.10    -26.60       21.08     -8.06    -26.46     0.153
   -4.95      6.98     32.75       -4.94      6.98     32.75     0.001
