400 PA5-E-Debug-Answer.txt 6
  111.6856  125.6666   59.0646  100.0028   27.6494  122.7559
  -13.88    12.58    24.82       -13.70    12.57    24.86     0.183
   -2.87    -9.16   -37.68        -2.88    -9.16   -37.68     0.008
   28.03    -1.61    29.19        27.95    -1.51    29.16     0.131
  -23.04   -22.78   -14.21       -23.04   -22.76   -14.25     0.047
   -4.26    -7.23   -49.03        -4.25    -7.23   -49.03     0.016
   22.89    19.66   -10.71        22.96    19.84   -10.74     0.193
   27.83     2.40    37.79        27.94     2.35    37.82     0.128
    9.32    21.84    59.53         9.32    21.93    59.53     0.089
    6.91    -4.03    29.33         6.91    -4.05    29.33     0.019
   -5.15    13.68    12.22        -5.24    13.77    12.16     0.141
  -10.31   -11.74   -47.72       -10.32   -11.74   -47.69     0.035
   32.56    -7.15    11.80        32.52    -7.08    11.82     0.083
  -28.96   -24.12   -17.55       -29.00   -24.16   -17.51     0.065
  -16.65     4.83   -41.58       -16.66     4.83   -41.61     0.026
   11.52    20.77    28.36        11.51    20.69    28.36     0.075
   38.49     3.77    -6.20        38.48     3.77    -6.17     0.027
  -41.26   -18.37   -32.27       -41.34   -18.43   -32.26     0.103
   -6.38     1.13    47.96        -6.48     1.19    47.97     0.120
   39.60     0.86     6.61        39.51     0.92     6.63     0.108
  -38.34    -8.78   -20.26       -38.30    -8.78   -20.29     0.048
    2.21    -2.58    71.00         2.17    -2.78    71.06     0.213
   25.07    -8.91     2.34        25.14    -8.81     2.30     0.129
   27.04     4.15    44.47        27.18     4.10    44.50     0.156
   35.20    13.59     9.61        35.19    13.58     9.59     0.024
   27.68    -9.52   -21.66        27.56    -9.40   -21.60     0.184
   12.20   -13.83    -6.65        12.20   -13.75    -6.68     0.087
   14.55    20.40    15.98        14.55    20.48    15.98     0.076
   23.59    -9.01    -0.54        23.67    -8.92    -0.59     0.127
   12.65    21.05    37.96        12.65    20.97    37.95     0.080
   36.27    11.03     5.26        36.23    11.01     5.27     0.042
  -31.56    -5.46   -16.88       -31.54    -5.49   -16.92     0.056
   -2.96    -9.42   -36.77        -2.98    -9.42   -36.77     0.013
   39.20    -0.11     8.39        39.23    -0.12     8.38     0.034
  -11.71   -28.09   -28.71       -11.70   -28.10   -28.71     0.018
   -7.10     4.00   -32.15        -7.11     3.98   -32.15     0.023
  -18.79   -11.48   -48.39       -18.79   -11.49   -48.43     0.040
   -5.50     9.29     0.29        -5.55     9.33     0.28     0.063
   -7.95   -12.37   -12.10        -7.88   -12.43   -12.08     0.092
   36.78     0.50    15.01        36.74     0.50    14.99     0.048
   18.01     0.23   -22.04        17.91     0.18   -22.10     0.122
   24.46     6.81    62.12        24.59     6.79    62.13     0.131
  -16.96    -4.87    -1.68       -16.96    -4.87    -1.67     0.001
   24.16    17.34    25.87        24.21    17.40    25.87     0.080
    8.82    20.73    32.31         8.84    20.89    32.30     0.158
   33.03    -7.69    -4.63        33.04    -7.69    -4.63     0.007
  -19.99   -17.95   -11.37       -20.03   -17.95   -11.41     0.063
  -22.33     5.72   -33.31       -22.32     5.74   -33.31     0.022
  -38.29   -17.30   -39.91       -38.23   -17.28   -39.87     0.069
   28.06     4.03    40.96        27.92     4.09    40.93     0.147
   27.18    14.40    22.40        27.22    14.43    22.40     0.048
  -17.80   -25.18   -18.26       -17.74   -25.25   -18.16     0.140
   -3.26     7.04   -14.64        -3.24     7.01   -14.62     0.038
   39.91     6.74     4.48        39.86     6.71     4.48     0.054
   18.68    16.07   -27.29        18.61    16.05   -27.21     0.109
    5.94    -9.34     3.41         5.93    -9.25     3.39     0.093
   27.91    -8.58   -21.46        27.88    -8.50   -21.45     0.092
   19.87     4.70   -29.83        19.85     4.64   -29.89     0.085
   -5.57    -4.27    47.29        -5.56    -4.26    47.28     0.018
   39.57     1.00    10.76        39.51     0.99    10.71     0.073
   17.09    18.34   -25.56        17.08    18.37   -25.56     0.030
   39.91     3.77     2.19        39.92     3.76     2.19     0.007
  -19.02     4.91   -40.97       -19.00     4.93   -40.91     0.068
  -34.21    -2.86   -17.38       -34.22    -2.87   -17.36     0.024
  -32.58     2.43   -35.93       -32.59     2.45   -35.94     0.024
   11.09   -11.42     0.24        11.10   -11.40     0.23     0.026
  -29.48    -1.50   -42.79       -29.49    -1.50   -42.80     0.012
   16.58    18.70   -19.50        16.60    18.63   -19.49     0.072
   37.93    10.54     9.89        37.97    10.55     9.90     0.043
   -8.25     4.09   -24.87        -8.25     3.98   -24.87     0.112
  -23.37    -0.52   -17.77       -23.33    -0.56   -17.81     0.067
  -33.36    -3.56   -17.69       -33.29    -3.53   -17.61     0.116
  -33.24   -24.54   -24.91       -33.17   -24.43   -24.93     0.132
  -13.57   -25.52   -41.00       -13.54   -25.58   -41.04     0.079
   -5.10   -15.35   -33.24        -5.07   -15.37   -33.24     0.030
  -33.91    -0.63   -38.30       -33.94    -0.59   -38.32     0.052
   27.72    -0.57    33.46        27.55    -0.36    33.39     0.282
  -11.94    10.61    22.24       -12.14    10.54    22.19     0.219
   -4.47     3.56    65.40        -4.44     3.57    65.40     0.032
  -38.95    -1.05   -29.05       -38.96    -1.04   -29.05     0.016
   24.35    10.34    67.96        24.46    10.33    67.97     0.108
   18.63   -10.49   -26.13        18.66   -10.50   -26.01     0.120
   30.71    -3.32    23.82        30.75    -3.35    23.87     0.069
  -33.84   -19.04   -16.68       -33.85   -19.04   -16.67     0.011
   28.09    -8.65    10.85        28.11    -8.77    10.85     0.114
    5.32     5.17    71.78         5.33     5.16    71.85     0.073
   24.19     0.43    46.32        24.13     0.50    46.30     0.099
   -5.12     7.90   -10.16        -5.11     7.89   -10.16     0.011
   16.43    20.64    41.28        16.39    20.46    41.29     0.183
    1.81    22.77    15.24         1.82    22.71    15.26     0.069
  -35.61    -1.38   -20.92       -35.60    -1.38   -20.93     0.005
  -23.47   -17.75   -47.30       -23.51   -17.75   -47.36     0.071
   12.63   -14.17   -12.06        12.62   -14.18   -12.06     0.011
    7.64   -11.73    -9.65         7.55   -11.92    -9.63     0.212
  -19.76   -22.98   -45.75       -19.75   -22.95   -45.70     0.060
   -9.20   -17.86   -44.24        -9.21   -17.85   -44.24     0.004
  -35.58   -15.10   -17.92       -35.69   -15.07   -17.85     0.130
   -5.08    12.67    10.09        -5.09    12.68    10.09     0.015
  -13.53    16.72    25.45       -13.48    16.71    25.46     0.055
  -28.62   -15.78   -47.26       -28.62   -15.78   -47.25     0.019
   24.48    19.54    -8.33        24.50    19.60    -8.34     0.060
  -40.42    -3.83   -34.13       -40.45    -3.80   -34.15     0.044
   31.95    12.08    13.42        31.81    12.02    13.39     0.157
    1.87    -6.64   -27.10         1.85    -6.64   -27.04     0.059
   -8.66   -24.99   -39.73        -8.73   -24.98   -39.75     0.069
  -42.11   -18.41   -36.70       -42.15   -18.44   -36.68     0.054
   -6.65     1.87    43.03        -6.60     1.83    43.02     0.064
   26.85    12.56    44.20        26.84    12.56    44.20     0.005
  -38.96   -19.68   -38.11       -38.96   -19.69   -38.11     0.012
  -15.33     0.52     0.84       -15.29     0.51     0.83     0.042
   25.70    14.02    46.09        25.85    14.13    46.11     0.183
   28.40     5.39    38.49        28.39     5.39    38.48     0.014
   23.04    20.05     4.28        23.03    19.97     4.27     0.082
    3.19    -5.65    21.13         3.13    -5.55    21.13     0.111
    0.07    -3.07    58.70        -0.02    -3.30    58.71     0.248
  -21.79   -27.43   -19.31       -21.78   -27.38   -19.35     0.070
   -5.50    22.78    26.33        -5.50    22.76    26.31     0.036
   -6.88   -20.12   -33.52        -6.90   -20.12   -33.52     0.016
  -17.83    -1.15   -45.40       -17.83    -1.14   -45.43     0.023
  -28.65   -12.49   -46.22       -28.67   -12.49   -46.24     0.027
   13.58    21.05    48.85        13.57    21.21    48.87     0.164
   28.23    13.23    23.02        28.19    13.19    23.01     0.060
  -28.57   -25.33   -18.70       -28.57   -25.32   -18.70     0.005
   -2.65     4.29   -21.14        -2.66     4.27   -21.14     0.016
  -42.11   -16.19   -38.02       -42.11   -16.16   -37.96     0.073
    8.18    -3.49    29.08         8.23    -3.64    29.10     0.160
    6.44   -10.46    -2.36         6.46   -10.36    -2.40     0.112
   -1.17    18.34     8.35        -1.28    18.39     8.30     0.135
   -4.11    18.88    42.39        -4.03    18.82    42.37     0.100
  -25.65   -28.34   -36.39       -25.64   -28.31   -36.38     0.037
  -12.94   -20.44   -15.70       -12.95   -20.43   -15.70     0.009
    5.97    -4.75    24.86         5.92    -4.52    24.85     0.239
  -14.82    -5.14   -46.64       -14.82    -5.13   -46.64     0.009
  -11.89    -1.93    14.30       -11.82    -1.90    14.26     0.084
  -14.87   -21.71   -17.13       -14.88   -21.77   -17.07     0.080
   22.52    20.70    -3.25        22.51    20.64    -3.26     0.062
   15.92    -2.78    47.50        15.92    -2.75    47.50     0.030
   32.92    -5.99     4.44        32.89    -5.96     4.43     0.045
  -13.56     1.88    10.44       -13.58     1.88    10.45     0.018
  -10.53     7.40    19.97       -10.59     7.40    19.98     0.063
   -4.17    -2.52    54.32        -4.18    -2.53    54.33     0.007
   -3.47    -1.78    57.62        -3.50    -1.82    57.68     0.086
    2.30    16.79    -2.86         2.32    16.78    -2.85     0.019
  -23.84     6.12   -35.61       -23.83     6.17   -35.61     0.056
   11.47     9.31   -15.90        11.49     9.32   -15.89     0.024
   23.19    13.63   -24.32        23.16    13.62   -24.30     0.039
  -13.37    -7.76     1.10       -13.38    -7.82     1.12     0.070
   22.62    19.42   -15.65        22.62    19.47   -15.65     0.050
   -4.91    -3.41    49.37        -4.97    -3.48    49.38     0.091
   -6.92     2.68    36.78        -6.92     2.67    36.78     0.007
  -39.40    -6.12   -37.82       -39.38    -6.14   -37.80     0.030
    6.45    15.19   -14.52         6.39    15.25   -14.55     0.092
   36.99     4.87    -6.70        36.97     4.88    -6.66     0.037
   -8.34   -20.09   -42.38        -8.41   -20.05   -42.33     0.097
   -4.49     7.19    68.86        -4.44     7.19    68.86     0.049
    2.84    -5.27    30.35         2.76    -5.13    30.32     0.164
   -8.49     5.70    -9.77        -8.66     5.97    -9.81     0.318
   -1.24    16.71     6.43        -1.23    16.71     6.43     0.014
  -28.31   -24.16   -42.03       -28.33   -24.20   -42.07     0.067
   16.11    -2.93   -20.95        16.11    -2.92   -20.96     0.011
   -3.08    13.92    60.41        -3.03    13.89    60.40     0.057
   36.86    10.43     5.95        36.76    10.38     5.98     0.109
  -30.03   -10.74   -45.64       -29.99   -10.72   -45.55     0.107
   24.87    -9.71   -15.41        24.95    -9.84   -15.41     0.150
  -15.20   -17.48   -46.75       -15.20   -17.48   -46.75     0.005
  -28.12    -9.31   -13.07       -28.23    -9.46   -13.14     0.198
  -12.80   -22.17   -16.56       -12.82   -22.16   -16.59     0.043
   34.10     8.52    -8.43        34.06     8.51    -8.42     0.041
   24.03    18.40    16.67        23.99    18.35    16.66     0.065
  -44.23   -10.96   -35.81       -44.18   -10.96   -35.83     0.059
    6.25    -8.78     4.09         6.27    -9.01     4.16     0.246
   35.43    -5.11    11.68        35.48    -5.22    11.67     0.118
  -43.28   -11.00   -30.68       -43.24   -11.00   -30.69     0.034
  -10.97     9.62    33.16       -10.92     9.69    33.14     0.090
   40.12     3.32     5.02        40.33     3.28     4.97     0.222
  -23.12     5.22   -26.53       -23.16     5.12   -26.55     0.105
  -10.68    -3.70    15.40       -10.62    -3.67    15.38     0.068
    7.17    -5.11   -22.78         7.16    -5.11   -22.78     0.011
   -9.56     4.85   -19.12        -9.56     4.81   -19.12     0.043
   -2.31    -2.20    59.43        -2.36    -2.24    59.43     0.058
   18.37    -2.44    42.57        18.36    -2.33    42.56     0.116
  -42.32   -16.78   -31.97       -42.38   -16.81   -31.96     0.067
   30.87    -7.22     4.26        30.89    -7.24     4.26     0.028
    3.21     1.54    71.22         3.21     1.53    71.26     0.041
   22.44    17.31    70.94        22.54    17.37    71.02     0.148
    9.35    13.97   -19.13         9.33    14.00   -19.17     0.054
   27.51     5.78    43.56        27.62     5.78    43.58     0.116
  -37.76    -0.92   -24.92       -37.74    -0.94   -24.93     0.021
   17.52    -5.30    10.38        17.52    -5.24    10.37     0.068
  -21.46     4.86   -23.22       -21.46     5.01   -23.20     0.145
   29.76    10.07   -17.80        29.80    10.09   -17.81     0.049
  -14.21   -13.56   -10.67       -14.18   -13.65   -10.59     0.124
   26.49    19.14     7.66        26.50    19.22     7.68     0.082
   21.41    18.77   -21.40        21.41    18.75   -21.39     0.021
   20.91    13.27   -27.05        20.92    13.28   -27.06     0.013
   12.82    21.88     5.44        12.81    21.79     5.44     0.091
    9.65    -2.83    66.81         9.67    -2.95    66.81     0.125
   -4.16   -13.85   -32.03        -4.19   -13.83   -32.03     0.040
  -36.92   -12.79   -41.72       -36.93   -12.79   -41.75     0.038
   31.05    11.51    15.38        31.17    11.60    15.43     0.155
   14.55   -13.67   -15.86        14.61   -13.52   -15.80     0.174
  -39.88   -15.96   -23.92       -39.87   -15.96   -23.93     0.009
    1.33    13.14    71.16         1.33    13.14    71.16     0.002
   35.69     5.89    -6.85        35.70     5.91    -6.91     0.062
   10.80    10.75   -21.80        10.81    10.75   -21.81     0.007
  -11.28   -21.41   -44.24       -11.29   -21.41   -44.22     0.018
    4.35    -3.28   -23.43         4.35    -3.28   -23.43     0.000
    0.91     8.00   -14.40         0.91     8.01   -14.41     0.012
  -40.69   -20.11   -34.91       -40.60   -20.07   -34.92     0.100
    7.74    10.56    69.94         7.71    10.54    69.89     0.062
   -3.47   -12.24   -34.47        -3.55   -12.21   -34.47     0.085
  -30.43    -4.08   -16.47       -30.44    -4.10   -16.39     0.087
   16.04    21.16    50.28        16.01    21.11    50.29     0.061
   -5.51    10.93    41.71        -5.51    10.93    41.71     0.008
  -13.48    14.97    31.25       -13.44    14.96    31.23     0.042
   -4.28    -3.04    53.02        -4.34    -3.12    53.05     0.101
   22.62    18.96   -20.36        22.62    18.90   -20.34     0.055
    5.30    -2.05    70.98         5.30    -2.05    71.02     0.040
   20.04     2.32   -28.22        20.02     2.30   -28.25     0.043
  -26.51     5.47   -19.44       -26.50     5.44   -19.46     0.038
  -31.78   -14.04   -45.81       -31.78   -14.06   -45.88     0.076
   29.73     5.58    31.72        29.75     5.58    31.73     0.019
   10.09    -2.63    70.80        10.13    -2.84    70.82     0.216
   11.47    11.04   -25.83        11.46    11.02   -25.85     0.030
  -23.15     4.67   -22.07       -23.17     4.76   -22.07     0.084
  -25.05     3.52   -40.47       -25.10     3.60   -40.55     0.128
  -37.04    -8.31   -19.43       -37.11    -8.26   -19.37     0.102
  -27.40    -7.04   -46.27       -27.45    -7.03   -46.36     0.105
   -8.63    16.10    36.68        -8.66    16.12    36.71     0.051
   15.39    20.86    40.65        15.34    20.65    40.66     0.216
   16.05    -2.53   -20.65        16.05    -2.52   -20.66     0.013
   23.34    -9.76   -25.79        23.34    -9.83   -25.71     0.104
  -39.02   -18.90   -24.13       -38.94   -18.86   -24.16     0.101
   17.94    20.79   -10.46        17.94    20.89   -10.49     0.102
  -35.04   -22.23   -38.30       -34.97   -22.17   -38.25     0.104
   -5.84   -10.10    18.29        -5.86   -10.12    18.30     0.030
   -3.07    22.91    22.58        -3.08    22.93    22.58     0.027
  -26.11     5.90   -31.81       -26.12     5.94   -31.81     0.035
    8.91    -3.29    49.45         8.92    -3.30    49.45     0.014
  -14.01     2.70    -1.68       -14.04     2.72    -1.68     0.040
  -33.06     1.87   -20.40       -33.02     1.84   -20.42     0.052
   -5.68     6.04    38.37        -5.56     6.06    38.36     0.127
  -19.71     5.45   -26.94       -19.70     5.41   -26.95     0.040
  -34.50    -4.65   -40.83       -34.51    -4.65   -40.84     0.012
   -7.93   -23.88   -40.96        -7.81   -23.98   -40.90     0.165
   -2.02     0.23    70.42        -1.97     0.25    70.41     0.050
  -14.08    -7.32   -47.61       -14.08    -7.33   -47.59     0.029
  -28.37   -25.84   -20.08       -28.38   -25.87   -20.07     0.038
  -34.45    -5.69   -18.92       -34.48    -5.66   -18.89     0.050
   -3.03    -9.87   -34.10        -3.01    -9.88   -34.10     0.022
  -22.64     5.99   -33.33       -22.68     5.87   -33.34     0.121
  -41.00   -10.07   -41.97       -41.03   -10.08   -41.95     0.038
   19.44    -6.56     3.86        19.41    -6.48     3.84     0.092
   23.02    -1.74    36.38        23.05    -1.84    36.40     0.100
   -9.19     3.38   -37.19        -9.15     3.44   -37.22     0.069
   -7.02   -21.79   -42.76        -6.98   -21.79   -42.74     0.048
   -9.79     0.34   -40.94        -9.80     0.33   -40.93     0.018
  -31.01     1.22   -40.14       -30.99     1.21   -40.12     0.023
  -11.31     4.99   -31.37       -11.32     4.95   -31.36     0.040
   -3.53     3.60    69.25        -3.51     3.61    69.24     0.030
  -13.63     4.76   -25.79       -13.63     4.78   -25.79     0.020
   -9.78     6.07    -4.55        -9.74     6.01    -4.54     0.067
  -27.95   -26.67   -37.91       -27.97   -26.73   -37.95     0.077
    9.03    -3.60    27.25         9.02    -3.56    27.25     0.042
    5.97     7.65   -13.09         5.96     7.66   -13.06     0.032
   -1.68    13.78     2.28        -1.67    13.78     2.28     0.014
   -9.80    22.44    26.85        -9.73    22.30    26.84     0.154
   36.00    -3.15   -10.32        35.93    -3.12   -10.24     0.115
  -34.97     1.74   -23.72       -34.98     1.75   -23.71     0.020
   23.63    17.77    28.11        23.68    17.82    28.11     0.075
   27.51    -9.15     1.52        27.53    -9.18     1.52     0.039
   35.37    -3.79     7.86        35.49    -3.91     7.85     0.170
    6.10    -3.65    37.25         6.13    -3.73    37.26     0.087
  -13.53     3.44     7.07       -13.47     3.40     7.07     0.069
   -7.14    19.63    18.83        -7.14    19.62    18.83     0.009
   -9.64    15.54    35.95        -9.64    15.54    35.96     0.013
   -7.14    -8.66    20.50        -7.13    -8.64    20.50     0.019
  -41.36    -6.79   -25.57       -41.33    -6.80   -25.58     0.037
  -20.74   -13.41   -10.12       -20.71   -13.37   -10.19     0.080
   16.95    20.36   -12.58        16.95    20.31   -12.57     0.046
   23.87    16.74    67.42        24.01    16.80    67.42     0.150
  -10.67   -18.95   -44.82       -10.65   -18.97   -44.87     0.056
   -4.84     7.82   -11.11        -4.84     7.82   -11.11     0.004
  -19.23    -4.57    -6.44       -19.15    -4.59    -6.48     0.088
    5.32     6.93   -14.48         5.31     6.91   -14.47     0.018
  -15.00     1.62    -4.58       -14.92     1.54    -4.59     0.111
  -41.42    -5.80   -25.73       -41.40    -5.80   -25.74     0.024
  -16.06     5.56   -34.21       -16.06     5.51   -34.21     0.053
  -18.32   -27.92   -39.31       -18.31   -27.96   -39.34     0.049
   23.87    19.70   -10.08        23.84    19.62   -10.07     0.085
