150 PA5-C-Debug-Answer.txt 6
  127.5566    8.9479  -76.4181   75.5808   43.4557   -9.1473
   30.77    17.55     7.81        30.77    17.55     7.81     0.000
   -2.02     4.66   -27.50        -2.02     4.66   -27.50     0.000
    1.09   -14.93   -35.21         1.09   -14.93   -35.21     0.000
   26.24    19.03   -25.03        26.24    19.03   -25.03     0.000
  -37.47   -20.37   -29.30       -37.47   -20.37   -29.30     0.000
   32.10   -11.44   -18.21        32.10   -11.44   -18.21     0.000
    6.28   -15.98   -12.70         6.28   -15.98   -12.70     0.000
   -2.12    -8.17    12.01        -2.12    -8.17    12.01     0.000
   16.13   -17.06   -20.94        16.13   -17.06   -20.94     0.000
   -0.97    -2.45    58.67        -0.97    -2.45    58.67     0.000
  -23.99    12.14   -19.88       -23.99    12.14   -19.88     0.000
  -15.58    18.31    31.41       -15.58    18.31    31.41     0.000
  -13.11    -0.68    11.38       -13.11    -0.68    11.38     0.000
  -11.57   -29.00   -31.31       -11.57   -29.00   -31.31     0.000
  -40.94    -3.39   -31.50       -40.94    -3.39   -31.50     0.000
  -13.79     4.96    -0.52       -13.79     4.96    -0.52     0.000
  -18.66   -28.08   -14.07       -18.66   -28.08   -14.07     0.000
   12.00    16.76    69.16        12.00    16.76    69.16     0.000
   33.67     2.64   -25.77        33.67     2.64   -25.77     0.000
  -22.78    12.98   -22.62       -22.78    12.98   -22.62     0.000
  -11.20     3.50    29.90       -11.20     3.50    29.90     0.000
   -8.17     5.31    52.13        -8.17     5.31    52.13     0.000
   -1.23    -3.41    42.00        -1.23    -3.41    42.00     0.000
  -28.25   -28.54   -28.66       -28.25   -28.54   -28.66     0.000
   12.52    21.04    32.62        12.52    21.04    32.62     0.000
  -35.04   -22.12   -32.53       -35.04   -22.12   -32.53     0.000
   37.29    13.43    -3.10        37.29    13.43    -3.10     0.000
    5.57    -4.37   -25.88         5.57    -4.37   -25.88     0.000
   21.24    20.75     6.76        21.24    20.75     6.76     0.000
   30.49   -12.37   -18.97        30.49   -12.37   -18.97     0.000
   29.12    20.37     0.56        29.12    20.37     0.56     0.000
   17.58   -14.92   -24.93        17.58   -14.92   -24.93     0.000
   -5.63   -18.21   -10.45        -5.63   -18.21   -10.45     0.000
   28.80     1.73   -32.63        28.80     1.73   -32.63     0.000
   -0.62   -10.42   -40.17        -0.62   -10.42   -40.17     0.000
  -15.56   -23.34   -42.26       -15.56   -23.34   -42.26     0.000
    1.10    -7.47    23.49         1.10    -7.47    23.49     0.000
  -26.72   -21.81   -10.07       -26.72   -21.81   -10.07     0.000
   -2.29   -12.12   -41.89        -2.29   -12.12   -41.89     0.000
  -25.46    11.16   -31.32       -25.46    11.16   -31.32     0.000
   -9.42   -28.41   -24.78        -9.42   -28.41   -24.78     0.000
  -38.92    -7.63   -15.82       -38.92    -7.63   -15.82     0.000
   24.59   -10.56    -0.64        24.59   -10.56    -0.64     0.000
   -7.10    -4.53    17.52        -7.10    -4.53    17.52     0.000
  -11.30    -4.03   -46.53       -11.30    -4.03   -46.53     0.000
  -21.30   -31.13   -25.81       -21.30   -31.13   -25.81     0.000
   35.85    14.38     7.02        35.85    14.38     7.02     0.000
   -7.08    15.41    58.10        -7.08    15.41    58.10     0.000
   35.36    -7.62   -17.19        35.36    -7.62   -17.19     0.000
  -37.33   -16.98   -37.19       -37.33   -16.98   -37.19     0.000
  -24.53   -25.04   -40.22       -24.53   -25.04   -40.22     0.000
    9.27   -12.96    -0.79         9.27   -12.96    -0.79     0.000
  -20.64    10.81    27.05       -20.64    10.81    27.05     0.000
  -19.24     7.74    37.95       -19.24     7.74    37.95     0.000
   17.48    11.21    69.51        17.48    11.21    69.51     0.000
   30.56   -12.34   -18.93        30.56   -12.34   -18.93     0.000
   30.07    19.61     4.27        30.07    19.61     4.27     0.000
    4.83   -17.00   -20.92         4.83   -17.00   -20.92     0.000
  -30.83   -16.32    -8.15       -30.83   -16.32    -8.15     0.000
   -8.01    -0.64    32.09        -8.01    -0.64    32.09     0.000
    1.53    19.60    16.29         1.53    19.60    16.29     0.000
   -9.63     6.51    44.53        -9.63     6.51    44.53     0.000
   35.08    -6.93    -7.91        35.08    -6.93    -7.91     0.000
   -9.17    18.73    30.85        -9.17    18.73    30.85     0.000
   20.28     3.65    55.53        20.28     3.65    55.53     0.000
  -21.95    -9.14   -48.16       -21.95    -9.14   -48.16     0.000
  -13.46   -29.43   -32.53       -13.46   -29.43   -32.53     0.000
  -11.33    14.74    19.01       -11.33    14.74    19.01     0.000
  -33.28   -15.87   -42.00       -33.28   -15.87   -42.00     0.000
    1.80    18.30     2.57         1.80    18.30     2.57     0.000
   22.07     2.88   -32.06        22.07     2.88   -32.06     0.000
   -7.49   -27.24   -26.19        -7.49   -27.24   -26.19     0.000
   16.68   -18.10   -18.80        16.68   -18.10   -18.80     0.000
  -29.00   -12.24   -45.31       -29.00   -12.24   -45.31     0.000
    3.73    20.55     3.41         3.73    20.55     3.41     0.000
   -9.26     7.87    58.87        -9.26     7.87    58.87     0.000
  -15.04     0.97   -45.30       -15.04     0.97   -45.30     0.000
   23.58     6.37   -32.88        23.58     6.37   -32.88     0.000
  -20.67    11.35    27.09       -20.67    11.35    27.09     0.000
   -5.51     6.02   -32.37        -5.51     6.02   -32.37     0.000
  -15.64    15.77    40.01       -15.64    15.77    40.01     0.000
   -8.08    14.08    65.81        -8.08    14.08    65.81     0.000
   -7.23    -8.10   -45.81        -7.23    -8.10   -45.81     0.000
    6.67    21.69     6.08         6.67    21.69     6.08     0.000
  -23.53   -28.49   -16.65       -23.53   -28.49   -16.65     0.000
   15.80   -16.89   -20.92        15.80   -16.89   -20.92     0.000
   25.80   -12.99    -7.16        25.80   -12.99    -7.16     0.000
   -2.17     3.53   -28.65        -2.17     3.53   -28.65     0.000
   16.28   -11.29     5.40        16.28   -11.29     5.40     0.000
  -42.13    -3.99   -25.82       -42.13    -3.99   -25.82     0.000
   17.89    14.16    69.79        17.89    14.16    69.79     0.000
   -6.27   -18.75   -10.48        -6.27   -18.75   -10.48     0.000
  -29.38     4.20   -11.69       -29.38     4.20   -11.69     0.000
   11.95    -5.91    29.67        11.95    -5.91    29.67     0.000
  -20.10     8.49   -38.59       -20.10     8.49   -38.59     0.000
  -28.93   -26.66   -16.78       -28.93   -26.66   -16.78     0.000
   19.03   -16.78    -5.51        19.03   -16.78    -5.51     0.000
   20.15    12.05    67.04        20.15    12.05    67.04     0.000
   -7.27   -20.53   -41.34        -7.27   -20.53   -41.34     0.000
   -5.90   -17.83   -10.11        -5.90   -17.83   -10.11     0.000
   28.96    13.03    13.59        28.96    13.03    13.59     0.000
   10.12    -0.90    69.94        10.12    -0.90    69.94     0.000
   17.53   -12.45   -25.79        17.53   -12.45   -25.79     0.000
  -37.78   -13.35   -34.05       -37.78   -13.35   -34.05     0.000
   -0.03    13.78    -2.67        -0.03    13.78    -2.67     0.000
   -8.92    12.90    65.99        -8.92    12.90    65.99     0.000
  -37.73   -17.52   -34.31       -37.73   -17.52   -34.31     0.000
   21.66    -0.92    36.37        21.66    -0.92    36.37     0.000
  -26.92    -5.62    -7.59       -26.92    -5.62    -7.59     0.000
   40.57     0.31   -10.56        40.57     0.31   -10.56     0.000
  -24.28    -7.18    -6.59       -24.28    -7.18    -6.59     0.000
   14.96    21.87   -27.92        14.96    21.87   -27.92     0.000
  -41.01    -9.28   -26.60       -41.01    -9.28   -26.60     0.000
   18.95    13.89   -34.73        18.95    13.89   -34.73     0.000
   19.50    23.78    -2.89        19.50    23.78    -2.89     0.000
    7.19    -7.10    18.25         7.19    -7.10    18.25     0.000
  -18.10    15.51    36.77       -18.10    15.51    36.77     0.000
  -32.83    -2.77   -42.58       -32.83    -2.77   -42.58     0.000
  -32.33     8.33   -30.12       -32.33     8.33   -30.12     0.000
   -1.22   -20.72   -21.89        -1.22   -20.72   -21.89     0.000
