150 PA5-D-Debug-Output.txt 6
  119.1634   93.2266   60.1081   49.0457   -5.8873  -62.1850
   27.73    16.61     9.40        27.73    16.61     9.40     0.000
  -33.31   -11.19    -9.81       -33.31   -11.19    -9.81     0.000
  -13.62   -24.33   -14.44       -13.62   -24.33   -14.44     0.000
    2.28    -0.96    52.41         2.28    -0.96    52.41     0.000
  -13.30     2.52     1.45       -13.30     2.52     1.45     0.000
   11.74    22.71     1.32        11.74    22.71     1.32     0.000
   14.60    -2.85    27.33        14.60    -2.85    27.33     0.000
  -22.46     1.79   -14.78       -22.46     1.79   -14.78     0.000
   21.52     9.03    68.95        21.52     9.03    68.95     0.000
   26.83     9.20    21.90        26.83     9.20    21.90     0.000
   37.64     2.40     2.61        37.64     2.40     2.61     0.000
   -5.48     2.58   -34.95        -5.48     2.58   -34.95     0.000
   19.46    14.78   -28.91        19.46    14.78   -28.91     0.000
   -4.36     1.39   -28.75        -4.36     1.39   -28.75     0.000
   -7.78    14.81    12.32        -7.78    14.81    12.32     0.000
   -9.00   -25.07   -19.29        -9.00   -25.07   -19.29     0.000
   -1.27    12.50     3.97        -1.27    12.50     3.97     0.000
   24.69     6.61   -28.97        24.69     6.61   -28.97     0.000
   17.99    17.98    45.73        17.99    17.98    45.73     0.000
   18.20    15.13   -29.00        18.20    15.13   -29.00     0.000
   22.27    19.81    13.98        22.27    19.81    13.98     0.000
  -40.16    -8.47   -18.43       -40.16    -8.47   -18.43     0.000
  -32.57   -11.67   -48.72       -32.57   -11.67   -48.72     0.000
   -3.54    13.10    57.37        -3.54    13.10    57.37     0.000
   18.74     0.12    71.93        18.74     0.12    71.93     0.000
   -4.20    -8.64     4.23        -4.20    -8.64     4.23     0.000
   10.25     8.17   -11.78        10.25     8.17   -11.78     0.000
  -35.93   -18.13   -15.51       -35.93   -18.13   -15.51     0.000
    2.37    17.21    53.86         2.37    17.21    53.86     0.000
   34.43    -3.87   -24.39        34.43    -3.87   -24.39     0.000
    0.12     0.79   -24.67         0.12     0.79   -24.67     0.000
   26.35    20.31     5.67        26.35    20.31     5.67     0.000
   23.01   -11.46    -8.65        23.01   -11.46    -8.65     0.000
    2.34    -6.37    26.13         2.34    -6.37    26.13     0.000
  -37.65   -20.27   -19.27       -37.65   -20.27   -19.27     0.000
  -16.35    11.69    16.66       -16.35    11.69    16.66     0.000
  -27.63   -29.89   -19.60       -27.63   -29.89   -19.60     0.000
   -5.42     2.33    49.63        -5.42     2.33    49.63     0.000
  -28.38   -13.39    -7.78       -28.38   -13.39    -7.78     0.000
   -5.69    10.81    63.08        -5.69    10.81    63.08     0.000
  -39.98   -11.52   -37.03       -39.98   -11.52   -37.03     0.000
   24.79    -1.78    29.46        24.79    -1.78    29.46     0.000
  -13.19   -10.71   -48.95       -13.19   -10.71   -48.95     0.000
   26.07    19.22     8.92        26.07    19.22     8.92     0.000
   34.63    -3.84     4.51        34.63    -3.84     4.51     0.000
    3.95   -16.78   -12.32         3.95   -16.78   -12.32     0.000
  -29.82   -11.20    -7.67       -29.82   -11.20    -7.67     0.000
  -26.28     2.30   -46.07       -26.28     2.30   -46.07     0.000
    8.56    16.81   -10.95         8.56    16.81   -10.95     0.000
  -29.54    -9.79   -49.59       -29.54    -9.79   -49.59     0.000
    3.98   -11.90   -29.26         3.98   -11.90   -29.26     0.000
  -41.90    -1.90   -27.68       -41.90    -1.90   -27.68     0.000
   29.03   -10.27   -19.59        29.03   -10.27   -19.59     0.000
  -20.47   -30.24   -38.33       -20.47   -30.24   -38.33     0.000
  -27.92     7.05   -40.03       -27.92     7.05   -40.03     0.000
